"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2017"	"2017"	"30-34 years"	"30-34"	22	2882778	0.8
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2017"	"2017"	"35-39 years"	"35-39"	32	2700615	1.2
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2017"	"2017"	"40-44 years"	"40-44"	54	2489386	2.2
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2017"	"2017"	"45-49 years"	"45-49"	64	2582988	2.5
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2017"	"2017"	"50-54 years"	"50-54"	124	2531978	4.9
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2017"	"2017"	"55-59 years"	"55-59"	203	2508821	8.1
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2017"	"2017"	"60-64 years "	"60-64"	229	2216421	10.3
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2017"	"2017"	"65-69 years"	"65-69"	273	1813150	15.1
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2017"	"2017"	"70-74 years"	"70-74"	202	1362501	14.8
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2017"	"2017"	"75-79 years"	"75-79"	180	925884	19.4
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2017"	"2017"	"80-84 years"	"80-84"	144	646733	22.3
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2017"	"2017"	"85+ years"	"85+"	184	728202	25.3
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2019"	"2019"	"5-9 years"	"5-9"	24	2480357	1.0
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2019"	"2019"	"20-24 years"	"20-24"	22	2639873	0.8
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2019"	"2019"	"25-29 years"	"25-29"	25	3092545	0.8
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2019"	"2019"	"30-34 years"	"30-34"	33	2954993	1.1
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2019"	"2019"	"35-39 years"	"35-39"	35	2776974	1.3
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2019"	"2019"	"40-44 years"	"40-44"	49	2496802	2.0
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2019"	"2019"	"45-49 years"	"45-49"	67	2510078	2.7
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2019"	"2019"	"50-54 years"	"50-54"	120	2458499	4.9
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2019"	"2019"	"55-59 years"	"55-59"	195	2503819	7.8
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2019"	"2019"	"60-64 years "	"60-64"	268	2273197	11.8
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2019"	"2019"	"65-69 years"	"65-69"	264	1881969	14.0
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2019"	"2019"	"70-74 years"	"70-74"	252	1491188	16.9
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2019"	"2019"	"75-79 years"	"75-79"	203	1014672	20.0
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2019"	"2019"	"80-84 years"	"80-84"	141	682562	20.7
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2019"	"2019"	"85+ years"	"85+"	179	749009	23.9
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2017"	"2017"	"50-54 years"	"50-54"	24	348355	6.9
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2017"	"2017"	"55-59 years"	"55-59"	32	368802	8.7
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2017"	"2017"	"60-64 years "	"60-64"	33	337612	9.8
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2017"	"2017"	"65-69 years"	"65-69"	42	280099	15.0
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2017"	"2017"	"70-74 years"	"70-74"	44	199366	22.1
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2017"	"2017"	"75-79 years"	"75-79"	20	124847	16.0
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2017"	"2017"	"80-84 years"	"80-84"	16	81924	19.5
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2017"	"2017"	"85+ years"	"85+"	17	86748	19.6
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2019"	"2019"	"55-59 years"	"55-59"	28	364757	7.7
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2019"	"2019"	"60-64 years "	"60-64"	49	347958	14.1
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2019"	"2019"	"65-69 years"	"65-69"	45	296415	15.2
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2019"	"2019"	"70-74 years"	"70-74"	42	226127	18.6
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2019"	"2019"	"75-79 years"	"75-79"	34	142262	23.9
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2019"	"2019"	"80-84 years"	"80-84"	18	88719	20.3
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2019"	"2019"	"85+ years"	"85+"	19	90002	21.1
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2017"	"2017"	"55-59 years"	"55-59"	20	271286	7.4
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2017"	"2017"	"60-64 years "	"60-64"	22	237522	9.3
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2017"	"2017"	"65-69 years"	"65-69"	22	187595	11.7
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2017"	"2017"	"70-74 years"	"70-74"	27	149660	18.0
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2017"	"2017"	"75-79 years"	"75-79"	19	99924	19.0
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2017"	"2017"	"85+ years"	"85+"	17	91713	18.5
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2019"	"2019"	"50-54 years"	"50-54"	16	251215	6.4
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2019"	"2019"	"55-59 years"	"55-59"	27	268224	10.1
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2019"	"2019"	"60-64 years "	"60-64"	29	245645	11.8
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2019"	"2019"	"65-69 years"	"65-69"	23	195251	11.8
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2019"	"2019"	"70-74 years"	"70-74"	27	158075	17.1
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2019"	"2019"	"75-79 years"	"75-79"	28	112488	24.9
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2019"	"2019"	"85+ years"	"85+"	17	90945	18.7
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2017"	"2017"	"30-34 years"	"30-34"	20	1325256	1.5
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2017"	"2017"	"35-39 years"	"35-39"	20	1280564	1.6
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2017"	"2017"	"40-44 years"	"40-44"	25	1236744	2.0
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2017"	"2017"	"45-49 years"	"45-49"	44	1344776	3.3
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2017"	"2017"	"50-54 years"	"50-54"	71	1416439	5.0
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2017"	"2017"	"55-59 years"	"55-59"	118	1444191	8.2
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2017"	"2017"	"60-64 years "	"60-64"	156	1341105	11.6
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2017"	"2017"	"65-69 years"	"65-69"	186	1249855	14.9
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2017"	"2017"	"70-74 years"	"70-74"	155	1081387	14.3
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2017"	"2017"	"75-79 years"	"75-79"	145	780154	18.6
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2017"	"2017"	"80-84 years"	"80-84"	126	536882	23.5
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2017"	"2017"	"85+ years"	"85+"	111	560425	19.8
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2019"	"2019"	"30-34 years"	"30-34"	19	1386162	1.4
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2019"	"2019"	"35-39 years"	"35-39"	19	1337577	1.4
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2019"	"2019"	"40-44 years"	"40-44"	21	1264424	1.7
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2019"	"2019"	"45-49 years"	"45-49"	50	1340672	3.7
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2019"	"2019"	"50-54 years"	"50-54"	61	1370147	4.5
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2019"	"2019"	"55-59 years"	"55-59"	110	1489467	7.4
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2019"	"2019"	"60-64 years "	"60-64"	136	1408052	9.7
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2019"	"2019"	"65-69 years"	"65-69"	194	1291366	15.0
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2019"	"2019"	"70-74 years"	"70-74"	200	1165712	17.2
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2019"	"2019"	"75-79 years"	"75-79"	165	870876	18.9
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2019"	"2019"	"80-84 years"	"80-84"	110	580970	18.9
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2019"	"2019"	"85+ years"	"85+"	122	585172	20.8
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2017"	"2017"	"45-49 years"	"45-49"	27	715877	3.8
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2017"	"2017"	"50-54 years"	"50-54"	33	700527	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2017"	"2017"	"55-59 years"	"55-59"	44	672816	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2017"	"2017"	"60-64 years "	"60-64"	61	588910	10.4
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2017"	"2017"	"65-69 years"	"65-69"	61	494781	12.3
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2017"	"2017"	"70-74 years"	"70-74"	53	374420	14.2
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2017"	"2017"	"75-79 years"	"75-79"	47	241645	19.5
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2017"	"2017"	"80-84 years"	"80-84"	39	152669	25.5
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2017"	"2017"	"85+ years"	"85+"	38	143029	26.6
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2019"	"2019"	"45-49 years"	"45-49"	25	712718	3.5
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2019"	"2019"	"50-54 years"	"50-54"	31	687313	4.5
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2019"	"2019"	"55-59 years"	"55-59"	51	691544	7.4
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2019"	"2019"	"60-64 years "	"60-64"	62	616177	10.1
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2019"	"2019"	"65-69 years"	"65-69"	71	511765	13.9
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2019"	"2019"	"70-74 years"	"70-74"	73	414940	17.6
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2019"	"2019"	"75-79 years"	"75-79"	48	274499	17.5
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2019"	"2019"	"80-84 years"	"80-84"	32	166640	19.2
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2019"	"2019"	"85+ years"	"85+"	39	151351	25.8
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2017"	"2017"	"60-64 years "	"60-64"	20	103889	19.3
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2017"	"2017"	"65-69 years"	"65-69"	16	91288	17.5
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2019"	"2019"	"60-64 years "	"60-64"	18	108797	16.5
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2019"	"2019"	"65-69 years"	"65-69"	20	97969	20.4
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2019"	"2019"	"75-79 years"	"75-79"	17	52938	32.1
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2017"	"2017"	"45-49 years"	"45-49"	25	830620	3.0
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2017"	"2017"	"50-54 years"	"50-54"	31	846101	3.7
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2017"	"2017"	"55-59 years"	"55-59"	71	877649	8.1
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2017"	"2017"	"60-64 years "	"60-64"	86	785249	11.0
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2017"	"2017"	"65-69 years"	"65-69"	81	639538	12.7
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2017"	"2017"	"70-74 years"	"70-74"	82	474654	17.3
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2017"	"2017"	"75-79 years"	"75-79"	56	330471	16.9
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2017"	"2017"	"80-84 years"	"80-84"	51	230200	22.2
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2017"	"2017"	"85+ years"	"85+"	50	265218	18.9
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2019"	"2019"	"40-44 years"	"40-44"	22	786072	2.8
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2019"	"2019"	"45-49 years"	"45-49"	30	798602	3.8
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2019"	"2019"	"50-54 years"	"50-54"	41	799055	5.1
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2019"	"2019"	"55-59 years"	"55-59"	66	854020	7.7
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2019"	"2019"	"60-64 years "	"60-64"	61	802804	7.6
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2019"	"2019"	"65-69 years"	"65-69"	107	661539	16.2
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2019"	"2019"	"70-74 years"	"70-74"	84	513990	16.3
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2019"	"2019"	"75-79 years"	"75-79"	63	358855	17.6
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2019"	"2019"	"80-84 years"	"80-84"	43	241394	17.8
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2019"	"2019"	"85+ years"	"85+"	48	266484	18.0
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2017"	"2017"	"45-49 years"	"45-49"	20	420668	4.8
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2017"	"2017"	"50-54 years"	"50-54"	27	432684	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2017"	"2017"	"55-59 years"	"55-59"	38	454608	8.4
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2017"	"2017"	"60-64 years "	"60-64"	42	414862	10.1
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2017"	"2017"	"65-69 years"	"65-69"	45	343674	13.1
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2017"	"2017"	"70-74 years"	"70-74"	51	254211	20.1
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2017"	"2017"	"75-79 years"	"75-79"	41	175507	23.4
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2017"	"2017"	"80-84 years"	"80-84"	16	119132	13.4
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2017"	"2017"	"85+ years"	"85+"	19	129989	14.6
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2019"	"2019"	"55-59 years"	"55-59"	32	448450	7.1
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2019"	"2019"	"60-64 years "	"60-64"	41	426048	9.6
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2019"	"2019"	"65-69 years"	"65-69"	61	358130	17.0
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2019"	"2019"	"70-74 years"	"70-74"	61	278052	21.9
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2019"	"2019"	"75-79 years"	"75-79"	36	191136	18.8
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2019"	"2019"	"80-84 years"	"80-84"	26	125903	20.7
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2019"	"2019"	"85+ years"	"85+"	28	130692	21.4
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2017"	"2017"	"55-59 years"	"55-59"	22	216194	10.2
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2017"	"2017"	"60-64 years "	"60-64"	29	201077	14.4
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2017"	"2017"	"65-69 years"	"65-69"	21	168722	12.4
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2017"	"2017"	"70-74 years"	"70-74"	27	122409	22.1
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2017"	"2017"	"75-79 years"	"75-79"	16	88786	18.0
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2017"	"2017"	"80-84 years"	"80-84"	16	65916	24.3
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2019"	"2019"	"55-59 years"	"55-59"	25	210886	11.9
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2019"	"2019"	"60-64 years "	"60-64"	28	204830	13.7
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2019"	"2019"	"65-69 years"	"65-69"	28	176802	15.8
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2019"	"2019"	"70-74 years"	"70-74"	18	134534	13.4
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2019"	"2019"	"75-79 years"	"75-79"	27	94446	28.6
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2019"	"2019"	"80-84 years"	"80-84"	19	67976	28.0
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2017"	"2017"	"55-59 years"	"55-59"	20	193480	10.3
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2017"	"2017"	"60-64 years "	"60-64"	27	179421	15.0
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2017"	"2017"	"65-69 years"	"65-69"	25	146735	17.0
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2017"	"2017"	"70-74 years"	"70-74"	20	107546	18.6
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2019"	"2019"	"55-59 years"	"55-59"	18	188564	9.5
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2019"	"2019"	"60-64 years "	"60-64"	21	182627	11.5
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2019"	"2019"	"65-69 years"	"65-69"	21	154450	13.6
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2019"	"2019"	"70-74 years"	"70-74"	28	117824	23.8
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2019"	"2019"	"85+ years"	"85+"	17	65502	26.0
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2017"	"2017"	"50-54 years"	"50-54"	16	299338	5.3
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2017"	"2017"	"55-59 years"	"55-59"	28	309410	9.0
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2017"	"2017"	"60-64 years "	"60-64"	30	284567	10.5
