"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	Deaths	Population	Age-Adjusted Rate	Crude Rate
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2019"	"2019"	"Male"	"M"	29	472097	5.2	6.1
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2019"	"2019"	"Male"	"M"	18	335860	5.5	5.4
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2017"	"2017"	"Female"	"F"	525	10720663	3.4	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2017"	"2017"	"Male"	"M"	699	10256426	5.3	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2019"	"2019"	"Female"	"F"	522	10987074	3.2	4.8
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2019"	"2019"	"Male"	"M"	732	10504982	5.2	7.0
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2017"	"2017"	"Female"	"F"	198	5349075	3.2	3.7
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2017"	"2017"	"Male"	"M"	260	5067956	5.2	5.1
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2019"	"2019"	"Female"	"F"	235	5462335	3.6	4.3
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2019"	"2019"	"Male"	"M"	253	5165685	4.7	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2017"	"2017"	"Female"	"F"	24	710227	2.4	3.4
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2017"	"2017"	"Male"	"M"	28	715536	3.4	3.9
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2019"	"2019"	"Female"	"F"	20	706419	2.0	2.8
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2019"	"2019"	"Male"	"M"	24	709196	3.0	3.4
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2017"	"2017"	"Female"	"F"	27	858030	2.5	3.1
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2017"	"2017"	"Male"	"M"	68	861715	7.2	7.9
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2019"	"2019"	"Female"	"F"	46	891995	4.4	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Idaho"	"16"	"2019"	"2019"	"Male"	"M"	71	897065	6.9	7.9
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2017"	"2017"	"Female"	"F"	267	6501339	3.3	4.1
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2017"	"2017"	"Male"	"M"	344	6278554	5.1	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2019"	"2019"	"Female"	"F"	244	6443120	3.0	3.8
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2019"	"2019"	"Male"	"M"	372	6223897	5.4	6.0
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2017"	"2017"	"Female"	"F"	144	3378096	3.5	4.3
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2017"	"2017"	"Male"	"M"	206	3283972	5.8	6.3
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2019"	"2019"	"Female"	"F"	155	3411571	3.7	4.5
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2019"	"2019"	"Male"	"M"	196	3319439	5.2	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2017"	"2017"	"Female"	"F"	72	1579862	3.6	4.6
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2017"	"2017"	"Male"	"M"	104	1563872	5.7	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2019"	"2019"	"Female"	"F"	82	1586636	4.2	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Iowa"	"19"	"2019"	"2019"	"Male"	"M"	117	1572960	6.2	7.4
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2017"	"2017"	"Female"	"F"	77	1460476	4.3	5.3
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2017"	"2017"	"Male"	"M"	93	1450416	5.8	6.4
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2019"	"2019"	"Female"	"F"	69	1462080	3.8	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Kansas"	"20"	"2019"	"2019"	"Male"	"M"	104	1450555	6.6	7.2
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2017"	"2017"	"Female"	"F"	110	2260311	3.8	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2017"	"2017"	"Male"	"M"	136	2195279	5.6	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2019"	"2019"	"Female"	"F"	106	2269036	3.7	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Kentucky"	"21"	"2019"	"2019"	"Male"	"M"	138	2203309	5.3	6.3
	"Brain and Other Nervous System"	"31010-31040"	"Louisiana"	"22"	"2017"	"2017"	"Female"	"F"	133	2390634	4.5	5.6
	"Brain and Other Nervous System"	"31010-31040"	"Louisiana"	"22"	"2017"	"2017"	"Male"	"M"	119	2283039	4.9	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Louisiana"	"22"	"2019"	"2019"	"Female"	"F"	83	2385969	2.8	3.5
	"Brain and Other Nervous System"	"31010-31040"	"Louisiana"	"22"	"2019"	"2019"	"Male"	"M"	151	2272316	6.0	6.6
	"Brain and Other Nervous System"	"31010-31040"	"Maine"	"23"	"2017"	"2017"	"Female"	"F"	44	681559	4.2	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Maine"	"23"	"2017"	"2017"	"Male"	"M"	52	654184	6.1	7.9
	"Brain and Other Nervous System"	"31010-31040"	"Maine"	"23"	"2019"	"2019"	"Female"	"F"	43	686674	4.6	6.3
	"Brain and Other Nervous System"	"31010-31040"	"Maine"	"23"	"2019"	"2019"	"Male"	"M"	54	659096	6.3	8.2
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	"2017"	"2017"	"Female"	"F"	117	3106751	3.0	3.8
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	"2017"	"2017"	"Male"	"M"	161	2921435	5.2	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	"2019"	"2019"	"Female"	"F"	118	3122480	2.9	3.8
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	"2019"	"2019"	"Male"	"M"	152	2932474	4.7	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Massachusetts"	"25"	"2017"	"2017"	"Female"	"F"	179	3532606	4.0	5.1
	"Brain and Other Nervous System"	"31010-31040"	"Massachusetts"	"25"	"2017"	"2017"	"Male"	"M"	218	3330954	5.8	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Massachusetts"	"25"	"2019"	"2019"	"Female"	"F"	163	3548380	3.5	4.6
	"Brain and Other Nervous System"	"31010-31040"	"Massachusetts"	"25"	"2019"	"2019"	"Male"	"M"	254	3346503	6.6	7.6
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2017"	"2017"	"Female"	"F"	235	5064544	3.4	4.6
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2017"	"2017"	"Male"	"M"	331	4912208	5.8	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2019"	"2019"	"Female"	"F"	288	5066743	4.2	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2019"	"2019"	"Male"	"M"	317	4918052	5.5	6.4
	"Brain and Other Nervous System"	"31010-31040"	"Minnesota"	"27"	"2017"	"2017"	"Female"	"F"	124	2796520	3.6	4.4
	"Brain and Other Nervous System"	"31010-31040"	"Minnesota"	"27"	"2017"	"2017"	"Male"	"M"	183	2772763	6.1	6.6
	"Brain and Other Nervous System"	"31010-31040"	"Minnesota"	"27"	"2019"	"2019"	"Female"	"F"	126	2830663	3.6	4.5
	"Brain and Other Nervous System"	"31010-31040"	"Minnesota"	"27"	"2019"	"2019"	"Male"	"M"	175	2809390	5.5	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Mississippi"	"28"	"2017"	"2017"	"Female"	"F"	72	1539672	3.5	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Mississippi"	"28"	"2017"	"2017"	"Male"	"M"	84	1451002	5.2	5.8
	"Brain and Other Nervous System"	"31010-31040"	"Mississippi"	"28"	"2019"	"2019"	"Female"	"F"	104	1534587	5.4	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Mississippi"	"28"	"2019"	"2019"	"Male"	"M"	97	1443640	5.7	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Missouri"	"29"	"2017"	"2017"	"Female"	"F"	162	3111381	4.0	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Missouri"	"29"	"2017"	"2017"	"Male"	"M"	178	3000001	5.2	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Missouri"	"29"	"2019"	"2019"	"Female"	"F"	150	3127846	3.6	4.8
	"Brain and Other Nervous System"	"31010-31040"	"Missouri"	"29"	"2019"	"2019"	"Male"	"M"	199	3012629	5.6	6.6
	"Brain and Other Nervous System"	"31010-31040"	"Montana"	"30"	"2017"	"2017"	"Female"	"F"	29	523400	4.2	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Montana"	"30"	"2017"	"2017"	"Male"	"M"	35	530462	5.1	6.6
	"Brain and Other Nervous System"	"31010-31040"	"Montana"	"30"	"2019"	"2019"	"Female"	"F"	34	531486	4.2	6.4
	"Brain and Other Nervous System"	"31010-31040"	"Montana"	"30"	"2019"	"2019"	"Male"	"M"	33	538637	4.8	6.1
	"Brain and Other Nervous System"	"31010-31040"	"Nebraska"	"31"	"2017"	"2017"	"Female"	"F"	45	960422	3.8	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Nebraska"	"31"	"2017"	"2017"	"Male"	"M"	65	956576	6.0	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Nebraska"	"31"	"2019"	"2019"	"Female"	"F"	60	967601	5.1	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Nebraska"	"31"	"2019"	"2019"	"Male"	"M"	57	964970	5.4	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Nevada"	"32"	"2017"	"2017"	"Female"	"F"	78	1480860	4.2	5.3
	"Brain and Other Nervous System"	"31010-31040"	"Nevada"	"32"	"2017"	"2017"	"Male"	"M"	95	1491237	5.9	6.4
	"Brain and Other Nervous System"	"31010-31040"	"Nevada"	"32"	"2019"	"2019"	"Female"	"F"	50	1541266	2.6	3.2
	"Brain and Other Nervous System"	"31010-31040"	"Nevada"	"32"	"2019"	"2019"	"Male"	"M"	78	1549505	4.7	5.0
	"Brain and Other Nervous System"	"31010-31040"	"New Hampshire"	"33"	"2017"	"2017"	"Female"	"F"	33	681670	3.6	4.8
	"Brain and Other Nervous System"	"31010-31040"	"New Hampshire"	"33"	"2017"	"2017"	"Male"	"M"	44	668725	5.6	6.6
	"Brain and Other Nervous System"	"31010-31040"	"New Hampshire"	"33"	"2019"	"2019"	"Female"	"F"	42	686814	4.1	6.1
	"Brain and Other Nervous System"	"31010-31040"	"New Hampshire"	"33"	"2019"	"2019"	"Male"	"M"	52	673969	5.9	7.7
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2017"	"2017"	"Female"	"F"	200	4547537	3.4	4.4
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2017"	"2017"	"Male"	"M"	260	4340610	5.4	6.0
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2019"	"2019"	"Female"	"F"	213	4545698	3.5	4.7
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2019"	"2019"	"Male"	"M"	268	4345560	5.3	6.2
	"Brain and Other Nervous System"	"31010-31040"	"New Mexico"	"35"	"2017"	"2017"	"Female"	"F"	48	1056754	3.6	4.5
	"Brain and Other Nervous System"	"31010-31040"	"New Mexico"	"35"	"2017"	"2017"	"Male"	"M"	65	1036090	5.5	6.3
	"Brain and Other Nervous System"	"31010-31040"	"New Mexico"	"35"	"2019"	"2019"	"Female"	"F"	47	1060654	3.0	4.4
	"Brain and Other Nervous System"	"31010-31040"	"New Mexico"	"35"	"2019"	"2019"	"Male"	"M"	70	1038980	5.5	6.7
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2017"	"2017"	"Female"	"F"	395	10080806	3.1	3.9
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2017"	"2017"	"Male"	"M"	527	9513043	4.9	5.5
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2019"	"2019"	"Female"	"F"	395	10012065	3.0	3.9
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2019"	"2019"	"Male"	"M"	498	9451066	4.6	5.3
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2017"	"2017"	"Female"	"F"	257	5274812	4.0	4.9
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2017"	"2017"	"Male"	"M"	260	5000946	4.9	5.2
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2019"	"2019"	"Female"	"F"	211	5393755	3.0	3.9
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2019"	"2019"	"Male"	"M"	293	5107629	5.0	5.7
	"Brain and Other Nervous System"	"31010-31040"	"North Dakota"	"38"	"2017"	"2017"	"Female"	"F"	16	369032	3.7	4.3
	"Brain and Other Nervous System"	"31010-31040"	"North Dakota"	"38"	"2017"	"2017"	"Male"	"M"	20	387723	4.7	5.2
	"Brain and Other Nervous System"	"31010-31040"	"North Dakota"	"38"	"2019"	"2019"	"Male"	"M"	25	391046	6.2	6.4
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2017"	"2017"	"Female"	"F"	324	5949075	4.3	5.4
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2017"	"2017"	"Male"	"M"	369	5716631	5.5	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2019"	"2019"	"Female"	"F"	295	5962634	3.7	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2019"	"2019"	"Male"	"M"	379	5733873	5.6	6.6
	"Brain and Other Nervous System"	"31010-31040"	"Oklahoma"	"40"	"2017"	"2017"	"Female"	"F"	98	1984912	4.0	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Oklahoma"	"40"	"2017"	"2017"	"Male"	"M"	117	1948690	5.6	6.0
	"Brain and Other Nervous System"	"31010-31040"	"Oklahoma"	"40"	"2019"	"2019"	"Female"	"F"	102	1999160	4.1	5.1
	"Brain and Other Nervous System"	"31010-31040"	"Oklahoma"	"40"	"2019"	"2019"	"Male"	"M"	118	1961516	5.4	6.0
	"Brain and Other Nervous System"	"31010-31040"	"Oregon"	"41"	"2017"	"2017"	"Female"	"F"	106	2091485	3.9	5.1
	"Brain and Other Nervous System"	"31010-31040"	"Oregon"	"41"	"2017"	"2017"	"Male"	"M"	140	2055809	5.6	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Oregon"	"41"	"2019"	"2019"	"Female"	"F"	95	2126006	3.3	4.5
	"Brain and Other Nervous System"	"31010-31040"	"Oregon"	"41"	"2019"	"2019"	"Male"	"M"	142	2090110	5.5	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2017"	"2017"	"Female"	"F"	316	6528507	3.5	4.8
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2017"	"2017"	"Male"	"M"	416	6266172	5.6	6.6
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2019"	"2019"	"Female"	"F"	306	6526489	3.3	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Pennsylvania"	"42"	"2019"	"2019"	"Male"	"M"	430	6272394	5.7	6.9
	"Brain and Other Nervous System"	"31010-31040"	"Rhode Island"	"44"	"2017"	"2017"	"Female"	"F"	38	542884	4.9	7.0
	"Brain and Other Nervous System"	"31010-31040"	"Rhode Island"	"44"	"2017"	"2017"	"Male"	"M"	34	513670	5.6	6.6
	"Brain and Other Nervous System"	"31010-31040"	"Rhode Island"	"44"	"2019"	"2019"	"Female"	"F"	32	543197	4.2	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Rhode Island"	"44"	"2019"	"2019"	"Male"	"M"	43	514961	7.1	8.4
	"Brain and Other Nervous System"	"31010-31040"	"South Carolina"	"45"	"2017"	"2017"	"Female"	"F"	150	2588374	4.8	5.8
	"Brain and Other Nervous System"	"31010-31040"	"South Carolina"	"45"	"2017"	"2017"	"Male"	"M"	145	2438728	5.1	5.9
	"Brain and Other Nervous System"	"31010-31040"	"South Carolina"	"45"	"2019"	"2019"	"Female"	"F"	135	2659704	3.7	5.1
	"Brain and Other Nervous System"	"31010-31040"	"South Carolina"	"45"	"2019"	"2019"	"Male"	"M"	165	2497998	5.4	6.6
	"Brain and Other Nervous System"	"31010-31040"	"South Dakota"	"46"	"2017"	"2017"	"Female"	"F"	25	432891	4.5	5.8
	"Brain and Other Nervous System"	"31010-31040"	"South Dakota"	"46"	"2017"	"2017"	"Male"	"M"	34	440841	6.6	7.7
	"Brain and Other Nervous System"	"31010-31040"	"South Dakota"	"46"	"2019"	"2019"	"Female"	"F"	23	439553	3.5	5.2
	"Brain and Other Nervous System"	"31010-31040"	"South Dakota"	"46"	"2019"	"2019"	"Male"	"M"	38	447574	8.3	8.5
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2017"	"2017"	"Female"	"F"	181	3438006	4.2	5.3
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2017"	"2017"	"Male"	"M"	224	3276742	6.0	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2019"	"2019"	"Female"	"F"	172	3498429	3.9	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2019"	"2019"	"Male"	"M"	229	3331896	6.0	6.9
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2017"	"2017"	"Female"	"F"	522	14238026	3.5	3.7
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2017"	"2017"	"Male"	"M"	647	14052998	4.9	4.6
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2019"	"2019"	"Female"	"F"	527	14591903	3.2	3.6
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2019"	"2019"	"Male"	"M"	692	14394891	5.1	4.8
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2017"	"2017"	"Female"	"F"	46	1540562	3.3	3.0
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2017"	"2017"	"Male"	"M"	80	1562978	6.2	5.1
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2019"	"2019"	"Female"	"F"	62	1589845	4.1	3.9
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2019"	"2019"	"Male"	"M"	79	1613538	5.6	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2017"	"2017"	"Female"	"F"	29	316438	6.6	9.2
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2017"	"2017"	"Male"	"M"	32	308694	8.5	10.4
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2019"	"2019"	"Female"	"F"	18	315738	3.9	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2019"	"2019"	"Male"	"M"	27	308308	7.0	8.8
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2017"	"2017"	"Female"	"F"	186	4302531	3.5	4.3
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2017"	"2017"	"Male"	"M"	229	4168480	5.1	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2019"	"2019"	"Female"	"F"	163	4345858	3.0	3.8
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2019"	"2019"	"Male"	"M"	241	4210784	5.2	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2017"	"2017"	"Female"	"F"	185	3712553	4.2	5.0
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2017"	"2017"	"Male"	"M"	248	3715398	6.0	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2019"	"2019"	"Female"	"F"	206	3802546	4.4	5.4
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2019"	"2019"	"Male"	"M"	255	3811478	6.2	6.7
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2017"	"2017"	"Female"	"F"	58	918498	4.7	6.3
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2017"	"2017"	"Male"	"M"	59	900185	5.1	6.6
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2019"	"2019"	"Female"	"F"	47	906103	3.6	5.2
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2019"	"2019"	"Male"	"M"	68	889160	5.5	7.6
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2017"	"2017"	"Female"	"F"	148	2911984	4.0	5.1
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2017"	"2017"	"Male"	"M"	195	2881163	6.0	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2019"	"2019"	"Female"	"F"	150	2925732	4.0	5.1
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2019"	"2019"	"Male"	"M"	188	2898849	5.4	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2017"	"2017"	"Female"	"F"	20	284115	5.8	7.0
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2017"	"2017"	"Male"	"M"	26	295879	8.4	8.8
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2019"	"2019"	"Male"	"M"	22	295710	5.6	7.4
	"Breast"	"26000"	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	695	2517486	21.2	27.6
	"Breast"	"26000"	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	711	2536133	20.4	28.0
	"Breast"	"26000"	"Alaska"	"02"	"2017"	"2017"	"Female"	"F"	60	353997	16.6	16.9
	"Breast"	"26000"	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	68	350790	18.4	19.4
	"Breast"	"26000"	"Arizona"	"04"	"2017"	"2017"	"Female"	"F"	830	3545316	18.0	23.4
	"Breast"	"26000"	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	900	3669041	18.3	24.5
	"Breast"	"26000"	"Arkansas"	"05"	"2017"	"2017"	"Female"	"F"	414	1527948	20.6	27.1
	"Breast"	"26000"	"Arkansas"	"05"	"2019"	"2019"	"Female"	"F"	375	1538076	18.2	24.4
	"Breast"	"26000"	"California"	"06"	"2017"	"2017"	"Female"	"F"	4588	19783962	19.5	23.2
	"Breast"	"26000"	"California"	"06"	"2017"	"2017"	"Male"	"M"	37	19553823	0.2	0.2
