"Notes"	"Cancer Sites"	"Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Age-Adjusted Rate	Age-Adjusted Rate Lower 95% Confidence Interval	Age-Adjusted Rate Upper 95% Confidence Interval	Age-Adjusted Rate Standard Error
	"All Cancer Sites Combined"	"0"	"Louisiana"	"22"	"2017"	"2017"	9512	4673673	174.6	171.0	178.2	1.8
	"All Cancer Sites Combined"	"0"	"Louisiana"	"22"	"2019"	"2019"	9485	4658285	167.5	164.1	171.0	1.8
	"All Cancer Sites Combined"	"0"	"Maine"	"23"	"2017"	"2017"	3391	1335743	169.9	164.1	175.9	3.0
	"All Cancer Sites Combined"	"0"	"Maine"	"23"	"2019"	"2019"	3413	1345770	163.8	158.2	169.6	2.9
	"All Cancer Sites Combined"	"0"	"Maryland"	"24"	"2017"	"2017"	10796	6028186	151.8	148.9	154.8	1.5
	"All Cancer Sites Combined"	"0"	"Maryland"	"24"	"2019"	"2019"	10742	6054954	144.2	141.4	147.0	1.4
	"All Cancer Sites Combined"	"0"	"Massachusetts"	"25"	"2017"	"2017"	12934	6863560	149.6	146.9	152.2	1.3
	"All Cancer Sites Combined"	"0"	"Massachusetts"	"25"	"2019"	"2019"	12582	6894883	139.8	137.3	142.3	1.3
	"All Cancer Sites Combined"	"0"	"Michigan"	"26"	"2017"	"2017"	20671	9976752	161.4	159.1	163.7	1.1
	"All Cancer Sites Combined"	"0"	"Michigan"	"26"	"2019"	"2019"	20923	9984795	157.1	155.0	159.3	1.1
	"All Cancer Sites Combined"	"0"	"Minnesota"	"27"	"2017"	"2017"	9896	5569283	147.2	144.3	150.2	1.5
	"All Cancer Sites Combined"	"0"	"Minnesota"	"27"	"2019"	"2019"	10042	5640053	142.4	139.5	145.2	1.4
	"All Cancer Sites Combined"	"0"	"Mississippi"	"28"	"2017"	"2017"	6526	2990674	183.0	178.5	187.6	2.3
	"All Cancer Sites Combined"	"0"	"Mississippi"	"28"	"2019"	"2019"	6587	2978227	178.8	174.4	183.2	2.2
	"All Cancer Sites Combined"	"0"	"Missouri"	"29"	"2017"	"2017"	12971	6111382	167.2	164.2	170.1	1.5
	"All Cancer Sites Combined"	"0"	"Missouri"	"29"	"2019"	"2019"	12873	6140475	159.6	156.8	162.4	1.4
	"All Cancer Sites Combined"	"0"	"Montana"	"30"	"2017"	"2017"	2145	1053862	152.4	145.8	159.1	3.4
	"All Cancer Sites Combined"	"0"	"Montana"	"30"	"2019"	"2019"	2099	1070123	141.1	135.0	147.5	3.2
	"All Cancer Sites Combined"	"0"	"Nebraska"	"31"	"2017"	"2017"	3502	1916998	153.2	148.0	158.4	2.6
	"All Cancer Sites Combined"	"0"	"Nebraska"	"31"	"2019"	"2019"	3482	1932571	147.6	142.6	152.7	2.6
	"All Cancer Sites Combined"	"0"	"Nevada"	"32"	"2017"	"2017"	5283	2972097	156.3	152.0	160.6	2.2
	"All Cancer Sites Combined"	"0"	"Nevada"	"32"	"2019"	"2019"	5433	3090771	148.7	144.7	152.8	2.1
	"All Cancer Sites Combined"	"0"	"New Hampshire"	"33"	"2017"	"2017"	2760	1350395	153.6	147.8	159.7	3.0
	"All Cancer Sites Combined"	"0"	"New Hampshire"	"33"	"2019"	"2019"	2819	1360783	147.4	141.9	153.2	2.9
	"All Cancer Sites Combined"	"0"	"New Jersey"	"34"	"2017"	"2017"	16264	8888147	145.6	143.4	147.9	1.2
	"All Cancer Sites Combined"	"0"	"New Jersey"	"34"	"2019"	"2019"	15697	8891258	136.4	134.2	138.6	1.1
	"All Cancer Sites Combined"	"0"	"New Mexico"	"35"	"2017"	"2017"	3620	2092844	138.5	134.0	143.2	2.4
	"All Cancer Sites Combined"	"0"	"New Mexico"	"35"	"2019"	"2019"	3614	2099634	131.6	127.2	136.1	2.2
	"All Cancer Sites Combined"	"0"	"New York"	"36"	"2017"	"2017"	34956	19593849	141.8	140.3	143.4	0.8
	"All Cancer Sites Combined"	"0"	"New York"	"36"	"2019"	"2019"	33651	19463131	132.5	131.0	133.9	0.7
	"All Cancer Sites Combined"	"0"	"North Carolina"	"37"	"2017"	"2017"	19474	10275758	157.2	155.0	159.5	1.1
	"All Cancer Sites Combined"	"0"	"North Carolina"	"37"	"2019"	"2019"	19951	10501384	151.8	149.6	153.9	1.1
	"All Cancer Sites Combined"	"0"	"North Dakota"	"38"	"2017"	"2017"	1280	756755	142.2	134.3	150.5	4.1
	"All Cancer Sites Combined"	"0"	"North Dakota"	"38"	"2019"	"2019"	1316	763724	140.2	132.5	148.2	4.0
	"All Cancer Sites Combined"	"0"	"Ohio"	"39"	"2017"	"2017"	25643	11665706	171.3	169.1	173.4	1.1
	"All Cancer Sites Combined"	"0"	"Ohio"	"39"	"2019"	"2019"	25170	11696507	162.8	160.7	164.9	1.0
	"All Cancer Sites Combined"	"0"	"Oklahoma"	"40"	"2017"	"2017"	8203	3933602	176.8	172.9	180.7	2.0
	"All Cancer Sites Combined"	"0"	"Oklahoma"	"40"	"2019"	"2019"	8309	3960676	172.6	168.8	176.4	1.9
	"All Cancer Sites Combined"	"0"	"Oregon"	"41"	"2017"	"2017"	8083	4147294	154.3	150.9	157.8	1.8
	"All Cancer Sites Combined"	"0"	"Oregon"	"41"	"2019"	"2019"	8080	4216116	145.3	142.1	148.6	1.7
	"All Cancer Sites Combined"	"0"	"Pennsylvania"	"42"	"2017"	"2017"	28385	12794679	160.7	158.8	162.6	1.0
	"All Cancer Sites Combined"	"0"	"Pennsylvania"	"42"	"2019"	"2019"	27745	12798883	153.0	151.1	154.8	0.9
	"All Cancer Sites Combined"	"0"	"Rhode Island"	"44"	"2017"	"2017"	2154	1056554	154.2	147.5	161.0	3.4
	"All Cancer Sites Combined"	"0"	"Rhode Island"	"44"	"2019"	"2019"	2210	1058158	153.5	147.0	160.2	3.3
	"All Cancer Sites Combined"	"0"	"South Carolina"	"45"	"2017"	"2017"	10356	5027102	162.4	159.2	165.7	1.6
	"All Cancer Sites Combined"	"0"	"South Carolina"	"45"	"2019"	"2019"	10487	5157702	153.5	150.5	156.6	1.5
	"All Cancer Sites Combined"	"0"	"South Dakota"	"46"	"2017"	"2017"	1715	873732	157.8	150.2	165.7	3.9
	"All Cancer Sites Combined"	"0"	"South Dakota"	"46"	"2019"	"2019"	1737	887127	153.4	146.1	161.0	3.8
	"All Cancer Sites Combined"	"0"	"Tennessee"	"47"	"2017"	"2017"	14302	6714748	173.5	170.6	176.4	1.5
	"All Cancer Sites Combined"	"0"	"Tennessee"	"47"	"2019"	"2019"	14382	6830325	166.8	164.0	169.6	1.4
	"All Cancer Sites Combined"	"0"	"Texas"	"48"	"2017"	"2017"	40668	28291024	147.6	146.1	149.0	0.7
	"All Cancer Sites Combined"	"0"	"Texas"	"48"	"2019"	"2019"	41488	28986794	142.0	140.6	143.4	0.7
	"All Cancer Sites Combined"	"0"	"Utah"	"49"	"2017"	"2017"	3160	3103540	121.1	116.9	125.5	2.2
	"All Cancer Sites Combined"	"0"	"Utah"	"49"	"2019"	"2019"	3288	3203383	117.8	113.8	122.0	2.1
	"All Cancer Sites Combined"	"0"	"Vermont"	"50"	"2017"	"2017"	1434	625132	164.5	155.8	173.6	4.5
	"All Cancer Sites Combined"	"0"	"Vermont"	"50"	"2019"	"2019"	1378	624046	150.7	142.6	159.2	4.2
	"All Cancer Sites Combined"	"0"	"Virginia"	"51"	"2017"	"2017"	15064	8471011	152.5	150.0	155.0	1.3
	"All Cancer Sites Combined"	"0"	"Virginia"	"51"	"2019"	"2019"	15045	8556642	144.9	142.6	147.3	1.2
	"All Cancer Sites Combined"	"0"	"Washington"	"53"	"2017"	"2017"	12664	7427951	148.5	145.9	151.2	1.3
	"All Cancer Sites Combined"	"0"	"Washington"	"53"	"2019"	"2019"	12960	7614024	144.0	141.5	146.5	1.3
	"All Cancer Sites Combined"	"0"	"West Virginia"	"54"	"2017"	"2017"	4654	1818683	178.4	173.2	183.8	2.7
	"All Cancer Sites Combined"	"0"	"West Virginia"	"54"	"2019"	"2019"	4604	1795263	173.7	168.5	178.9	2.6
	"All Cancer Sites Combined"	"0"	"Wisconsin"	"55"	"2017"	"2017"	11318	5793147	153.5	150.6	156.4	1.5
	"All Cancer Sites Combined"	"0"	"Wisconsin"	"55"	"2019"	"2019"	11505	5824581	149.8	147.1	152.7	1.4
	"All Cancer Sites Combined"	"0"	"Wyoming"	"56"	"2017"	"2017"	948	579994	135.7	126.9	144.9	4.5
	"All Cancer Sites Combined"	"0"	"Wyoming"	"56"	"2019"	"2019"	1016	580116	137.8	129.2	146.8	4.4
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2017"	"2017"	178	4877989	2.8	2.4	3.3	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Alabama"	"01"	"2019"	"2019"	206	4907965	3.1	2.7	3.6	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Alaska"	"02"	"2017"	"2017"	18	740983	2.3	1.3	3.8	0.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Alaska"	"02"	"2019"	"2019"	20	733603	2.6	1.5	4.1	0.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Arizona"	"04"	"2017"	"2017"	181	7048088	2.0	1.7	2.3	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Arizona"	"04"	"2019"	"2019"	186	7291843	1.9	1.6	2.2	0.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Arkansas"	"05"	"2017"	"2017"	107	3003855	2.9	2.4	3.5	0.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Arkansas"	"05"	"2019"	"2019"	110	3020985	2.8	2.3	3.3	0.3
	"Oral Cavity and Pharynx"	"20010-20100"	"California"	"06"	"2017"	"2017"	1050	39337785	2.4	2.2	2.5	0.1
	"Oral Cavity and Pharynx"	"20010-20100"	"California"	"06"	"2019"	"2019"	1092	39437610	2.4	2.2	2.5	0.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Colorado"	"08"	"2017"	"2017"	144	5617421	2.2	1.9	2.6	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Colorado"	"08"	"2019"	"2019"	121	5758486	1.9	1.6	2.3	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Connecticut"	"09"	"2017"	"2017"	99	3575324	2.1	1.7	2.5	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Connecticut"	"09"	"2019"	"2019"	68	3566022	1.4	1.0	1.7	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Delaware"	"10"	"2017"	"2017"	38	957942	2.8	2.0	4.0	0.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Delaware"	"10"	"2019"	"2019"	30	976668	2.1	1.4	3.1	0.4
	"Oral Cavity and Pharynx"	"20010-20100"	"District of Columbia"	"11"	"2019"	"2019"	18	708253	2.5	1.5	4.0	0.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Florida"	"12"	"2017"	"2017"	829	20977089	2.7	2.5	2.9	0.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Florida"	"12"	"2019"	"2019"	842	21492056	2.6	2.4	2.7	0.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Georgia"	"13"	"2017"	"2017"	313	10417031	2.7	2.4	3.1	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Georgia"	"13"	"2019"	"2019"	318	10628020	2.6	2.3	2.9	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Hawaii"	"15"	"2017"	"2017"	53	1425763	2.7	2.0	3.6	0.4
	"Oral Cavity and Pharynx"	"20010-20100"	"Hawaii"	"15"	"2019"	"2019"	52	1415615	2.7	2.0	3.6	0.4
	"Oral Cavity and Pharynx"	"20010-20100"	"Idaho"	"16"	"2017"	"2017"	46	1719745	2.3	1.7	3.1	0.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Idaho"	"16"	"2019"	"2019"	55	1789060	2.5	1.9	3.3	0.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Illinois"	"17"	"2017"	"2017"	412	12779893	2.6	2.4	2.9	0.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Illinois"	"17"	"2019"	"2019"	409	12667017	2.5	2.3	2.8	0.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Indiana"	"18"	"2017"	"2017"	226	6662068	2.8	2.4	3.2	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Indiana"	"18"	"2019"	"2019"	230	6731010	2.8	2.5	3.2	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Iowa"	"19"	"2017"	"2017"	119	3143734	2.9	2.4	3.4	0.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Iowa"	"19"	"2019"	"2019"	107	3159596	2.6	2.1	3.2	0.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	"2017"	"2017"	97	2910892	2.7	2.2	3.4	0.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Kansas"	"20"	"2019"	"2019"	86	2912635	2.4	1.9	3.0	0.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Kentucky"	"21"	"2017"	"2017"	163	4455590	2.9	2.4	3.4	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Kentucky"	"21"	"2019"	"2019"	170	4472345	2.9	2.5	3.4	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Louisiana"	"22"	"2017"	"2017"	176	4673673	3.1	2.7	3.7	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Louisiana"	"22"	"2019"	"2019"	172	4658285	3.0	2.5	3.5	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Maine"	"23"	"2017"	"2017"	46	1335743	2.1	1.6	2.9	0.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Maine"	"23"	"2019"	"2019"	64	1345770	2.9	2.2	3.8	0.4
	"Oral Cavity and Pharynx"	"20010-20100"	"Maryland"	"24"	"2017"	"2017"	177	6028186	2.4	2.1	2.8	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Maryland"	"24"	"2019"	"2019"	182	6054954	2.4	2.1	2.8	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Massachusetts"	"25"	"2017"	"2017"	209	6863560	2.4	2.1	2.8	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Massachusetts"	"25"	"2019"	"2019"	206	6894883	2.2	1.9	2.5	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Michigan"	"26"	"2017"	"2017"	340	9976752	2.6	2.3	2.9	0.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Michigan"	"26"	"2019"	"2019"	347	9984795	2.6	2.3	2.8	0.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Minnesota"	"27"	"2017"	"2017"	167	5569283	2.4	2.0	2.8	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Minnesota"	"27"	"2019"	"2019"	180	5640053	2.5	2.1	2.9	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Mississippi"	"28"	"2017"	"2017"	110	2990674	3.0	2.5	3.6	0.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Mississippi"	"28"	"2019"	"2019"	121	2978227	3.2	2.6	3.8	0.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Missouri"	"29"	"2017"	"2017"	211	6111382	2.7	2.3	3.1	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Missouri"	"29"	"2019"	"2019"	241	6140475	2.9	2.6	3.3	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Montana"	"30"	"2017"	"2017"	44	1053862	3.0	2.1	4.1	0.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Montana"	"30"	"2019"	"2019"	39	1070123	2.6	1.8	3.6	0.4
	"Oral Cavity and Pharynx"	"20010-20100"	"Nebraska"	"31"	"2017"	"2017"	57	1916998	2.4	1.8	3.2	0.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Nebraska"	"31"	"2019"	"2019"	51	1932571	2.3	1.7	3.0	0.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Nevada"	"32"	"2017"	"2017"	87	2972097	2.5	2.0	3.1	0.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Nevada"	"32"	"2019"	"2019"	81	3090771	2.1	1.7	2.7	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"New Hampshire"	"33"	"2017"	"2017"	53	1350395	2.9	2.1	3.8	0.4
	"Oral Cavity and Pharynx"	"20010-20100"	"New Hampshire"	"33"	"2019"	"2019"	51	1360783	2.6	1.9	3.4	0.4
	"Oral Cavity and Pharynx"	"20010-20100"	"New Jersey"	"34"	"2017"	"2017"	209	8888147	1.8	1.6	2.1	0.1
	"Oral Cavity and Pharynx"	"20010-20100"	"New Jersey"	"34"	"2019"	"2019"	247	8891258	2.2	1.9	2.4	0.1
	"Oral Cavity and Pharynx"	"20010-20100"	"New Mexico"	"35"	"2017"	"2017"	70	2092844	2.6	2.0	3.4	0.3
	"Oral Cavity and Pharynx"	"20010-20100"	"New Mexico"	"35"	"2019"	"2019"	68	2099634	2.4	1.9	3.1	0.3
	"Oral Cavity and Pharynx"	"20010-20100"	"New York"	"36"	"2017"	"2017"	542	19593849	2.2	2.0	2.4	0.1
	"Oral Cavity and Pharynx"	"20010-20100"	"New York"	"36"	"2019"	"2019"	555	19463131	2.2	2.0	2.4	0.1
	"Oral Cavity and Pharynx"	"20010-20100"	"North Carolina"	"37"	"2017"	"2017"	328	10275758	2.6	2.3	2.9	0.1
	"Oral Cavity and Pharynx"	"20010-20100"	"North Carolina"	"37"	"2019"	"2019"	362	10501384	2.7	2.4	3.0	0.1
	"Oral Cavity and Pharynx"	"20010-20100"	"North Dakota"	"38"	"2019"	"2019"	20	763724	2.2	1.3	3.5	0.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Ohio"	"39"	"2017"	"2017"	422	11665706	2.8	2.5	3.0	0.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Ohio"	"39"	"2019"	"2019"	448	11696507	2.9	2.6	3.1	0.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Oklahoma"	"40"	"2017"	"2017"	142	3933602	3.1	2.6	3.6	0.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Oklahoma"	"40"	"2019"	"2019"	133	3960676	2.7	2.2	3.2	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Oregon"	"41"	"2017"	"2017"	145	4147294	2.6	2.2	3.1	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Oregon"	"41"	"2019"	"2019"	169	4216116	3.0	2.6	3.5	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Pennsylvania"	"42"	"2017"	"2017"	436	12794679	2.5	2.2	2.7	0.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Pennsylvania"	"42"	"2019"	"2019"	438	12798883	2.4	2.2	2.6	0.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Rhode Island"	"44"	"2017"	"2017"	31	1056554	2.4	1.6	3.5	0.5
	"Oral Cavity and Pharynx"	"20010-20100"	"Rhode Island"	"44"	"2019"	"2019"	26	1058158	1.8	1.2	2.7	0.4
	"Oral Cavity and Pharynx"	"20010-20100"	"South Carolina"	"45"	"2017"	"2017"	194	5027102	3.0	2.6	3.5	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"South Carolina"	"45"	"2019"	"2019"	200	5157702	2.9	2.5	3.3	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"South Dakota"	"46"	"2017"	"2017"	29	873732	2.8	1.8	4.0	0.5
	"Oral Cavity and Pharynx"	"20010-20100"	"South Dakota"	"46"	"2019"	"2019"	23	887127	2.0	1.2	3.0	0.4
	"Oral Cavity and Pharynx"	"20010-20100"	"Tennessee"	"47"	"2017"	"2017"	221	6714748	2.7	2.3	3.1	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Tennessee"	"47"	"2019"	"2019"	270	6830325	3.1	2.7	3.5	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Texas"	"48"	"2017"	"2017"	719	28291024	2.5	2.3	2.7	0.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Texas"	"48"	"2019"	"2019"	836	28986794	2.8	2.6	3.0	0.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Utah"	"49"	"2017"	"2017"	45	3103540	1.7	1.2	2.3	0.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Utah"	"49"	"2019"	"2019"	49	3203383	1.7	1.3	2.3	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Vermont"	"50"	"2017"	"2017"	16	625132	1.8	1.0	3.0	0.4
	"Oral Cavity and Pharynx"	"20010-20100"	"Vermont"	"50"	"2019"	"2019"	26	624046	2.8	1.8	4.2	0.6
	"Oral Cavity and Pharynx"	"20010-20100"	"Virginia"	"51"	"2017"	"2017"	259	8471011	2.6	2.3	2.9	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Virginia"	"51"	"2019"	"2019"	239	8556642	2.3	2.0	2.6	0.1
	"Oral Cavity and Pharynx"	"20010-20100"	"Washington"	"53"	"2017"	"2017"	244	7427951	2.7	2.4	3.1	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Washington"	"53"	"2019"	"2019"	245	7614024	2.7	2.3	3.0	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"West Virginia"	"54"	"2017"	"2017"	74	1818683	3.0	2.4	3.9	0.4
	"Oral Cavity and Pharynx"	"20010-20100"	"West Virginia"	"54"	"2019"	"2019"	68	1795263	2.5	1.9	3.3	0.3
	"Oral Cavity and Pharynx"	"20010-20100"	"Wisconsin"	"55"	"2017"	"2017"	202	5793147	2.6	2.3	3.0	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Wisconsin"	"55"	"2019"	"2019"	206	5824581	2.6	2.2	3.0	0.2
	"Oral Cavity and Pharynx"	"20010-20100"	"Wyoming"	"56"	"2017"	"2017"	19	579994	2.6	1.6	4.2	0.6
	"Tongue"	"20020"	"Alabama"	"01"	"2017"	"2017"	39	4877989	0.6	0.5	0.9	0.1
	"Tongue"	"20020"	"Alabama"	"01"	"2019"	"2019"	44	4907965	0.7	0.5	0.9	0.1
	"Tongue"	"20020"	"Arizona"	"04"	"2017"	"2017"	44	7048088	0.5	0.4	0.7	0.1
	"Tongue"	"20020"	"Arizona"	"04"	"2019"	"2019"	58	7291843	0.6	0.4	0.8	0.1
	"Tongue"	"20020"	"Arkansas"	"05"	"2017"	"2017"	24	3003855	0.7	0.4	1.0	0.1
	"Tongue"	"20020"	"Arkansas"	"05"	"2019"	"2019"	33	3020985	0.9	0.6	1.2	0.2
	"Tongue"	"20020"	"California"	"06"	"2017"	"2017"	302	39337785	0.7	0.6	0.8	0.0
	"Tongue"	"20020"	"California"	"06"	"2019"	"2019"	287	39437610	0.6	0.5	0.7	0.0
	"Tongue"	"20020"	"Colorado"	"08"	"2017"	"2017"	43	5617421	0.6	0.5	0.9	0.1
