"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Age-Adjusted Rate	Crude Rate
	"Brain and Other Nervous System"	"31010-31040"	"South Carolina"	"45"	"2017"	"2017"	295	5027102	4.9	5.9
	"Brain and Other Nervous System"	"31010-31040"	"South Carolina"	"45"	"2019"	"2019"	300	5157702	4.5	5.8
	"Brain and Other Nervous System"	"31010-31040"	"South Dakota"	"46"	"2017"	"2017"	59	873732	5.4	6.8
	"Brain and Other Nervous System"	"31010-31040"	"South Dakota"	"46"	"2019"	"2019"	61	887127	5.9	6.9
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2017"	"2017"	405	6714748	5.0	6.0
	"Brain and Other Nervous System"	"31010-31040"	"Tennessee"	"47"	"2019"	"2019"	401	6830325	4.8	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2017"	"2017"	1169	28291024	4.1	4.1
	"Brain and Other Nervous System"	"31010-31040"	"Texas"	"48"	"2019"	"2019"	1219	28986794	4.1	4.2
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2017"	"2017"	126	3103540	4.7	4.1
	"Brain and Other Nervous System"	"31010-31040"	"Utah"	"49"	"2019"	"2019"	141	3203383	4.8	4.4
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2017"	"2017"	61	625132	7.4	9.8
	"Brain and Other Nervous System"	"31010-31040"	"Vermont"	"50"	"2019"	"2019"	45	624046	5.5	7.2
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2017"	"2017"	415	8471011	4.3	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2019"	"2019"	404	8556642	4.0	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2017"	"2017"	433	7427951	5.1	5.8
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2019"	"2019"	461	7614024	5.2	6.1
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2017"	"2017"	117	1818683	4.9	6.4
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2019"	"2019"	115	1795263	4.5	6.4
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2017"	"2017"	343	5793147	4.9	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2019"	"2019"	338	5824581	4.7	5.8
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2017"	"2017"	46	579994	7.1	7.9
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2019"	"2019"	27	580116	3.4	4.7
	"Breast"	"26000"	"Alabama"	"01"	"2017"	"2017"	704	4877989	11.9	14.4
	"Breast"	"26000"	"Alabama"	"01"	"2019"	"2019"	717	4907965	11.4	14.6
	"Breast"	"26000"	"Alaska"	"02"	"2017"	"2017"	61	740983	8.6	8.2
	"Breast"	"26000"	"Alaska"	"02"	"2019"	"2019"	68	733603	9.4	9.3
	"Breast"	"26000"	"Arizona"	"04"	"2017"	"2017"	838	7048088	9.6	11.9
	"Breast"	"26000"	"Arizona"	"04"	"2019"	"2019"	912	7291843	9.8	12.5
	"Breast"	"26000"	"Arkansas"	"05"	"2017"	"2017"	424	3003855	11.5	14.1
	"Breast"	"26000"	"Arkansas"	"05"	"2019"	"2019"	380	3020985	10.1	12.6
	"Breast"	"26000"	"California"	"06"	"2017"	"2017"	4625	39337785	10.7	11.8
	"Breast"	"26000"	"California"	"06"	"2019"	"2019"	4569	39437610	10.2	11.6
	"Breast"	"26000"	"Colorado"	"08"	"2017"	"2017"	638	5617421	10.6	11.4
	"Breast"	"26000"	"Colorado"	"08"	"2019"	"2019"	614	5758486	9.6	10.7
	"Breast"	"26000"	"Connecticut"	"09"	"2017"	"2017"	470	3575324	10.2	13.1
	"Breast"	"26000"	"Connecticut"	"09"	"2019"	"2019"	449	3566022	9.4	12.6
	"Breast"	"26000"	"Delaware"	"10"	"2017"	"2017"	150	957942	12.1	15.7
	"Breast"	"26000"	"Delaware"	"10"	"2019"	"2019"	143	976668	11.4	14.6
	"Breast"	"26000"	"District of Columbia"	"11"	"2017"	"2017"	92	697079	13.7	13.2
	"Breast"	"26000"	"District of Columbia"	"11"	"2019"	"2019"	99	708253	14.1	14.0
	"Breast"	"26000"	"Florida"	"12"	"2017"	"2017"	2993	20977089	10.1	14.3
	"Breast"	"26000"	"Florida"	"12"	"2019"	"2019"	3193	21492056	10.4	14.9
	"Breast"	"26000"	"Georgia"	"13"	"2017"	"2017"	1358	10417031	12.4	13.0
	"Breast"	"26000"	"Georgia"	"13"	"2019"	"2019"	1314	10628020	11.2	12.4
	"Breast"	"26000"	"Hawaii"	"15"	"2017"	"2017"	157	1425763	8.4	11.0
	"Breast"	"26000"	"Hawaii"	"15"	"2019"	"2019"	193	1415615	10.3	13.6
	"Breast"	"26000"	"Idaho"	"16"	"2017"	"2017"	225	1719745	11.5	13.1
	"Breast"	"26000"	"Idaho"	"16"	"2019"	"2019"	206	1789060	10.0	11.5
	"Breast"	"26000"	"Illinois"	"17"	"2017"	"2017"	1730	12779893	11.4	13.5
	"Breast"	"26000"	"Illinois"	"17"	"2019"	"2019"	1772	12667017	11.5	14.0
	"Breast"	"26000"	"Indiana"	"18"	"2017"	"2017"	915	6662068	11.7	13.7
	"Breast"	"26000"	"Indiana"	"18"	"2019"	"2019"	857	6731010	10.7	12.7
	"Breast"	"26000"	"Iowa"	"19"	"2017"	"2017"	395	3143734	9.8	12.6
	"Breast"	"26000"	"Iowa"	"19"	"2019"	"2019"	401	3159596	9.9	12.7
	"Breast"	"26000"	"Kansas"	"20"	"2017"	"2017"	353	2910892	10.3	12.1
	"Breast"	"26000"	"Kansas"	"20"	"2019"	"2019"	415	2912635	11.4	14.2
	"Breast"	"26000"	"Kentucky"	"21"	"2017"	"2017"	642	4455590	12.0	14.4
	"Breast"	"26000"	"Kentucky"	"21"	"2019"	"2019"	658	4472345	12.1	14.7
	"Breast"	"26000"	"Louisiana"	"22"	"2017"	"2017"	697	4673673	13.1	14.9
	"Breast"	"26000"	"Louisiana"	"22"	"2019"	"2019"	674	4658285	12.2	14.5
	"Breast"	"26000"	"Maine"	"23"	"2017"	"2017"	188	1335743	10.1	14.1
	"Breast"	"26000"	"Maine"	"23"	"2019"	"2019"	194	1345770	9.7	14.4
	"Breast"	"26000"	"Maryland"	"24"	"2017"	"2017"	864	6028186	12.1	14.3
	"Breast"	"26000"	"Maryland"	"24"	"2019"	"2019"	798	6054954	10.9	13.2
	"Breast"	"26000"	"Massachusetts"	"25"	"2017"	"2017"	902	6863560	10.5	13.1
	"Breast"	"26000"	"Massachusetts"	"25"	"2019"	"2019"	769	6894883	8.7	11.2
	"Breast"	"26000"	"Michigan"	"26"	"2017"	"2017"	1334	9976752	10.7	13.4
	"Breast"	"26000"	"Michigan"	"26"	"2019"	"2019"	1412	9984795	11.0	14.1
	"Breast"	"26000"	"Minnesota"	"27"	"2017"	"2017"	621	5569283	9.2	11.2
	"Breast"	"26000"	"Minnesota"	"27"	"2019"	"2019"	651	5640053	9.4	11.5
	"Breast"	"26000"	"Mississippi"	"28"	"2017"	"2017"	494	2990674	14.3	16.5
	"Breast"	"26000"	"Mississippi"	"28"	"2019"	"2019"	435	2978227	12.2	14.6
	"Breast"	"26000"	"Missouri"	"29"	"2017"	"2017"	879	6111382	11.7	14.4
	"Breast"	"26000"	"Missouri"	"29"	"2019"	"2019"	818	6140475	10.5	13.3
	"Breast"	"26000"	"Montana"	"30"	"2017"	"2017"	132	1053862	9.6	12.5
	"Breast"	"26000"	"Montana"	"30"	"2019"	"2019"	158	1070123	10.9	14.8
	"Breast"	"26000"	"Nebraska"	"31"	"2017"	"2017"	247	1916998	11.0	12.9
	"Breast"	"26000"	"Nebraska"	"31"	"2019"	"2019"	281	1932571	12.2	14.5
	"Breast"	"26000"	"Nevada"	"32"	"2017"	"2017"	377	2972097	11.4	12.7
	"Breast"	"26000"	"Nevada"	"32"	"2019"	"2019"	446	3090771	12.5	14.4
	"Breast"	"26000"	"New Hampshire"	"33"	"2017"	"2017"	161	1350395	8.8	11.9
	"Breast"	"26000"	"New Hampshire"	"33"	"2019"	"2019"	202	1360783	10.6	14.8
	"Breast"	"26000"	"New Jersey"	"34"	"2017"	"2017"	1251	8888147	11.3	14.1
	"Breast"	"26000"	"New Jersey"	"34"	"2019"	"2019"	1266	8891258	11.2	14.2
	"Breast"	"26000"	"New Mexico"	"35"	"2017"	"2017"	284	2092844	11.0	13.6
	"Breast"	"26000"	"New Mexico"	"35"	"2019"	"2019"	289	2099634	11.2	13.8
	"Breast"	"26000"	"New York"	"36"	"2017"	"2017"	2479	19593849	10.2	12.7
	"Breast"	"26000"	"New York"	"36"	"2019"	"2019"	2515	19463131	10.2	12.9
	"Breast"	"26000"	"North Carolina"	"37"	"2017"	"2017"	1464	10275758	12.0	14.2
	"Breast"	"26000"	"North Carolina"	"37"	"2019"	"2019"	1375	10501384	10.8	13.1
	"Breast"	"26000"	"North Dakota"	"38"	"2017"	"2017"	97	756755	10.5	12.8
	"Breast"	"26000"	"North Dakota"	"38"	"2019"	"2019"	68	763724	7.9	8.9
	"Breast"	"26000"	"Ohio"	"39"	"2017"	"2017"	1780	11665706	12.2	15.3
	"Breast"	"26000"	"Ohio"	"39"	"2019"	"2019"	1761	11696507	11.8	15.1
	"Breast"	"26000"	"Oklahoma"	"40"	"2017"	"2017"	560	3933602	12.3	14.2
	"Breast"	"26000"	"Oklahoma"	"40"	"2019"	"2019"	550	3960676	11.8	13.9
	"Breast"	"26000"	"Oregon"	"41"	"2017"	"2017"	516	4147294	10.0	12.4
	"Breast"	"26000"	"Oregon"	"41"	"2019"	"2019"	580	4216116	10.7	13.8
	"Breast"	"26000"	"Pennsylvania"	"42"	"2017"	"2017"	2012	12794679	11.6	15.7
	"Breast"	"26000"	"Pennsylvania"	"42"	"2019"	"2019"	1902	12798883	10.9	14.9
	"Breast"	"26000"	"Rhode Island"	"44"	"2017"	"2017"	129	1056554	9.5	12.2
	"Breast"	"26000"	"Rhode Island"	"44"	"2019"	"2019"	142	1058158	10.1	13.4
	"Breast"	"26000"	"South Carolina"	"45"	"2017"	"2017"	708	5027102	11.5	14.1
	"Breast"	"26000"	"South Carolina"	"45"	"2019"	"2019"	760	5157702	11.5	14.7
	"Breast"	"26000"	"South Dakota"	"46"	"2017"	"2017"	106	873732	9.8	12.1
	"Breast"	"26000"	"South Dakota"	"46"	"2019"	"2019"	108	887127	9.8	12.2
	"Breast"	"26000"	"Tennessee"	"47"	"2017"	"2017"	946	6714748	11.7	14.1
	"Breast"	"26000"	"Tennessee"	"47"	"2019"	"2019"	980	6830325	11.5	14.3
	"Breast"	"26000"	"Texas"	"48"	"2017"	"2017"	3017	28291024	10.9	10.7
	"Breast"	"26000"	"Texas"	"48"	"2019"	"2019"	3175	28986794	10.9	11.0
	"Breast"	"26000"	"Utah"	"49"	"2017"	"2017"	281	3103540	10.8	9.1
	"Breast"	"26000"	"Utah"	"49"	"2019"	"2019"	288	3203383	10.2	9.0
	"Breast"	"26000"	"Vermont"	"50"	"2017"	"2017"	81	625132	9.4	13.0
	"Breast"	"26000"	"Vermont"	"50"	"2019"	"2019"	83	624046	9.3	13.3
	"Breast"	"26000"	"Virginia"	"51"	"2017"	"2017"	1189	8471011	12.1	14.0
	"Breast"	"26000"	"Virginia"	"51"	"2019"	"2019"	1123	8556642	11.0	13.1
	"Breast"	"26000"	"Washington"	"53"	"2017"	"2017"	896	7427951	10.5	12.1
	"Breast"	"26000"	"Washington"	"53"	"2019"	"2019"	932	7614024	10.5	12.2
	"Breast"	"26000"	"West Virginia"	"54"	"2017"	"2017"	302	1818683	12.0	16.6
	"Breast"	"26000"	"West Virginia"	"54"	"2019"	"2019"	287	1795263	11.3	16.0
	"Breast"	"26000"	"Wisconsin"	"55"	"2017"	"2017"	687	5793147	9.5	11.9
	"Breast"	"26000"	"Wisconsin"	"55"	"2019"	"2019"	702	5824581	9.5	12.1
	"Breast"	"26000"	"Wyoming"	"56"	"2017"	"2017"	59	579994	8.8	10.2
	"Breast"	"26000"	"Wyoming"	"56"	"2019"	"2019"	63	580116	9.0	10.9
	"Cervix Uteri"	"27010"	"Alabama"	"01"	"2017"	"2017"	89	2517486	3.1	3.5
	"Cervix Uteri"	"27010"	"Alabama"	"01"	"2019"	"2019"	84	2536133	2.6	3.3
	"Cervix Uteri"	"27010"	"Arizona"	"04"	"2017"	"2017"	78	3545316	2.1	2.2
	"Cervix Uteri"	"27010"	"Arizona"	"04"	"2019"	"2019"	84	3669041	2.0	2.3
	"Cervix Uteri"	"27010"	"Arkansas"	"05"	"2017"	"2017"	55	1527948	3.3	3.6
	"Cervix Uteri"	"27010"	"Arkansas"	"05"	"2019"	"2019"	55	1538076	3.1	3.6
	"Cervix Uteri"	"27010"	"California"	"06"	"2017"	"2017"	490	19783962	2.3	2.5
	"Cervix Uteri"	"27010"	"California"	"06"	"2019"	"2019"	495	19829085	2.2	2.5
	"Cervix Uteri"	"27010"	"Colorado"	"08"	"2017"	"2017"	55	2789649	1.9	2.0
	"Cervix Uteri"	"27010"	"Colorado"	"08"	"2019"	"2019"	53	2857610	1.6	1.9
	"Cervix Uteri"	"27010"	"Connecticut"	"09"	"2017"	"2017"	25	1831503	1.1	1.4
	"Cervix Uteri"	"27010"	"Connecticut"	"09"	"2019"	"2019"	26	1826990	1.0	1.4
	"Cervix Uteri"	"27010"	"Delaware"	"10"	"2017"	"2017"	20	494606	3.1	4.0
	"Cervix Uteri"	"27010"	"Florida"	"12"	"2017"	"2017"	355	10720663	2.8	3.3
	"Cervix Uteri"	"27010"	"Florida"	"12"	"2019"	"2019"	362	10987074	2.6	3.3
	"Cervix Uteri"	"27010"	"Georgia"	"13"	"2017"	"2017"	123	5349075	2.1	2.3
	"Cervix Uteri"	"27010"	"Georgia"	"13"	"2019"	"2019"	140	5462335	2.4	2.6
	"Cervix Uteri"	"27010"	"Idaho"	"16"	"2019"	"2019"	18	891995	1.8	2.0
	"Cervix Uteri"	"27010"	"Illinois"	"17"	"2017"	"2017"	157	6501339	2.1	2.4
	"Cervix Uteri"	"27010"	"Illinois"	"17"	"2019"	"2019"	151	6443120	2.0	2.3
	"Cervix Uteri"	"27010"	"Indiana"	"18"	"2017"	"2017"	105	3378096	2.9	3.1
	"Cervix Uteri"	"27010"	"Indiana"	"18"	"2019"	"2019"	106	3411571	2.8	3.1
	"Cervix Uteri"	"27010"	"Iowa"	"19"	"2017"	"2017"	25	1579862	1.5	1.6
	"Cervix Uteri"	"27010"	"Iowa"	"19"	"2019"	"2019"	23	1586636	1.2	1.4
	"Cervix Uteri"	"27010"	"Kansas"	"20"	"2017"	"2017"	32	1460476	2.1	2.2
	"Cervix Uteri"	"27010"	"Kansas"	"20"	"2019"	"2019"	37	1462080	2.4	2.5
	"Cervix Uteri"	"27010"	"Kentucky"	"21"	"2017"	"2017"	65	2260311	2.6	2.9
	"Cervix Uteri"	"27010"	"Kentucky"	"21"	"2019"	"2019"	72	2269036	2.9	3.2
	"Cervix Uteri"	"27010"	"Louisiana"	"22"	"2017"	"2017"	96	2390634	3.6	4.0
	"Cervix Uteri"	"27010"	"Louisiana"	"22"	"2019"	"2019"	80	2385969	3.3	3.4
	"Cervix Uteri"	"27010"	"Maryland"	"24"	"2017"	"2017"	67	3106751	1.7	2.2
	"Cervix Uteri"	"27010"	"Maryland"	"24"	"2019"	"2019"	82	3122480	2.2	2.6
	"Cervix Uteri"	"27010"	"Massachusetts"	"25"	"2017"	"2017"	46	3532606	1.1	1.3
	"Cervix Uteri"	"27010"	"Massachusetts"	"25"	"2019"	"2019"	61	3548380	1.5	1.7
	"Cervix Uteri"	"27010"	"Michigan"	"26"	"2017"	"2017"	121	5064544	2.1	2.4
	"Cervix Uteri"	"27010"	"Michigan"	"26"	"2019"	"2019"	103	5066743	1.7	2.0
	"Cervix Uteri"	"27010"	"Minnesota"	"27"	"2017"	"2017"	48	2796520	1.4	1.7
	"Cervix Uteri"	"27010"	"Minnesota"	"27"	"2019"	"2019"	33	2830663	0.9	1.2
	"Cervix Uteri"	"27010"	"Mississippi"	"28"	"2017"	"2017"	61	1539672	3.6	4.0
	"Cervix Uteri"	"27010"	"Mississippi"	"28"	"2019"	"2019"	62	1534587	3.7	4.0
	"Cervix Uteri"	"27010"	"Missouri"	"29"	"2017"	"2017"	87	3111381	2.4	2.8
	"Cervix Uteri"	"27010"	"Missouri"	"29"	"2019"	"2019"	91	3127846	2.4	2.9
	"Cervix Uteri"	"27010"	"Nebraska"	"31"	"2017"	"2017"	27	960422	2.2	2.8
	"Cervix Uteri"	"27010"	"Nebraska"	"31"	"2019"	"2019"	17	967601	1.7	1.8
	"Cervix Uteri"	"27010"	"Nevada"	"32"	"2017"	"2017"	38	1480860	2.3	2.6
	"Cervix Uteri"	"27010"	"Nevada"	"32"	"2019"	"2019"	51	1541266	2.7	3.3
	"Cervix Uteri"	"27010"	"New Hampshire"	"33"	"2019"	"2019"	16	686814	1.8	2.3
	"Cervix Uteri"	"27010"	"New Jersey"	"34"	"2017"	"2017"	114	4547537	2.0	2.5
	"Cervix Uteri"	"27010"	"New Jersey"	"34"	"2019"	"2019"	110	4545698	2.0	2.4
	"Cervix Uteri"	"27010"	"New Mexico"	"35"	"2017"	"2017"	27	1056754	2.4	2.6
	"Cervix Uteri"	"27010"	"New Mexico"	"35"	"2019"	"2019"	30	1060654	2.7	2.8
	"Cervix Uteri"	"27010"	"New York"	"36"	"2017"	"2017"	259	10080806	2.1	2.6
	"Cervix Uteri"	"27010"	"New York"	"36"	"2019"	"2019"	216	10012065	1.8	2.2
	"Cervix Uteri"	"27010"	"North Carolina"	"37"	"2017"	"2017"	115	5274812	1.8	2.2
	"Cervix Uteri"	"27010"	"North Carolina"	"37"	"2019"	"2019"	115	5393755	1.8	2.1
	"Cervix Uteri"	"27010"	"Ohio"	"39"	"2017"	"2017"	174	5949075	2.5	2.9
	"Cervix Uteri"	"27010"	"Ohio"	"39"	"2019"	"2019"	169	5962634	2.3	2.8
	"Cervix Uteri"	"27010"	"Oklahoma"	"40"	"2017"	"2017"	86	1984912	4.1	4.3
