YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2017,2017,NM,New Mexico,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,Other,"(34.520880952, -106.240580985)",FV,FV1,Q018,VALUE,35,Race/Ethnicity,Other,RACE,RACEOTH
2017,2017,MN,Minnesota,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,16.6,16.6,,,14.7,18.7,1937,,35 - 44,,,,,"(46.355648736, -94.794200503)",FV,FV1,Q019,VALUE,27,Age (years),35 - 44,AGEYR,AGEYR3544
2017,2017,ME,Maine,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,36.5,36.5,,,34.1,38.9,3869,,,,Male,,,"(45.254228894001, -68.985031336)",FV,FV1,Q018,VALUE,23,Gender,Male,GEN,MALE
2017,2017,DC,District of Columbia,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,9.0,9.0,,,7.3,11.1,1485,,,,,"$75,000 or greater",,"(38.890371385, -77.031961127)",FV,FV1,Q019,VALUE,11,Income,"$75,000 or greater",INC,INC75PLUS
2017,2017,OR,Oregon,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,10.0,10.0,,,8.6,11.6,2011,,,College graduate,,,,"(44.567449424, -120.155031326)",FV,FV1,Q019,VALUE,41,Education,College graduate,EDU,EDUCOGRAD
2017,2017,UT,Utah,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,23.4,23.4,,,19.7,27.6,747,,,,,"$25,000 - $34,999",,"(39.360700171, -111.587130635)",FV,FV1,Q019,VALUE,49,Income,"$25,000 - $34,999",INC,INC2535
2017,2017,NY,New York,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,40.5,40.5,,,36.3,44.7,1044,,,,,"Less than $15,000",,"(42.827001032, -75.543970427)",FV,FV1,Q018,VALUE,36,Income,"Less than $15,000",INC,INCLESS15
2017,2017,LA,Louisiana,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,41.0,41.0,,,34.5,47.8,359,,,,,"$25,000 - $34,999",,"(31.312660644, -92.445680071)",FV,FV1,Q018,VALUE,22,Income,"$25,000 - $34,999",INC,INC2535
2017,2017,RI,Rhode Island,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,48.5,48.5,,,31.5,65.7,75,,,,,,Asian,"(41.708280193, -71.522470314)",FV,FV1,Q018,VALUE,44,Race/Ethnicity,Asian,RACE,RACEASN
2017,2017,IL,Illinois,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,33.3,33.3,,,31.6,35.0,5196,Total,,,,,,"(40.485010283, -88.997710178)",FV,FV1,Q018,VALUE,17,Total,Total,OVR,OVERALL
2017,2017,UT,Utah,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,19.1,19.1,,,17.7,20.6,4495,,,,Male,,,"(39.360700171, -111.587130635)",FV,FV1,Q019,VALUE,49,Gender,Male,GEN,MALE
2017,2017,NY,New York,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,42.4,42.4,,,38.2,46.6,918,,,Less than high school,,,,"(42.827001032, -75.543970427)",FV,FV1,Q018,VALUE,36,Education,Less than high school,EDU,EDUHS
2017,2017,WV,West Virginia,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,Hawaiian/Pacific Islander,"(38.665510202, -80.712640135)",FV,FV1,Q019,VALUE,54,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2017,2017,AZ,Arizona,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,Hawaiian/Pacific Islander,"(34.86597028, -111.763811277)",FV,FV1,Q018,VALUE,04,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2017,2017,MT,Montana,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,14.9,14.9,,,12.7,17.3,1797,,,Some college or technical school,,,,"(47.066528972, -109.424420645)",FV,FV1,Q019,VALUE,30,Education,Some college or technical school,EDU,EDUCOTEC
2017,2017,MN,Minnesota,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,20.6,20.6,,,18.3,23.1,1770,,25 - 34,,,,,"(46.355648736, -94.794200503)",FV,FV1,Q019,VALUE,27,Age (years),25 - 34,AGEYR,AGEYR2534
2017,2017,NH,New Hampshire,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,Hawaiian/Pacific Islander,"(43.655950113, -71.50036092)",FV,FV1,Q018,VALUE,33,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2017,2017,DC,District of Columbia,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,13.3,13.3,,,10.9,16.1,1085,,65 or older,,,,,"(38.890371385, -77.031961127)",FV,FV1,Q019,VALUE,11,Age (years),65 or older,AGEYR,AGEYR65PLUS
2017,2017,NY,New York,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,15.6,15.6,,,12.8,18.9,1267,,,,,"$50,000 - $74,999",,"(42.827001032, -75.543970427)",FV,FV1,Q019,VALUE,36,Income,"$50,000 - $74,999",INC,INC5075
2017,2017,ND,North Dakota,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,31.9,31.9,,,27.9,36.2,944,,,,,"$35,000 - $49,999",,"(47.475319779, -100.118421049)",FV,FV1,Q018,VALUE,38,Income,"$35,000 - $49,999",INC,INC3550
2017,2017,VA,Virginia,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,16.7,16.7,,,11.4,23.8,212,,,,,,Asian,"(37.542680674, -78.457890463)",FV,FV1,Q019,VALUE,51,Race/Ethnicity,Asian,RACE,RACEASN
2017,2017,NH,New Hampshire,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,28.5,28.5,,,25.4,31.9,1736,,,,,"$75,000 or greater",,"(43.655950113, -71.50036092)",FV,FV1,Q018,VALUE,33,Income,"$75,000 or greater",INC,INC75PLUS
2017,2017,IL,Illinois,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,36.7,36.7,,,32.1,41.5,575,,,,,,Hispanic,"(40.485010283, -88.997710178)",FV,FV1,Q019,VALUE,17,Race/Ethnicity,Hispanic,RACE,RACEHIS
2017,2017,AR,Arkansas,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,45.2,45.2,,,40.7,49.8,1016,,55 - 64,,,,,"(34.748650124, -92.274490743)",FV,FV1,Q018,VALUE,05,Age (years),55 - 64,AGEYR,AGEYR5564
2017,2017,MS,Mississippi,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,46.9,46.9,,,42.6,51.2,1290,,,,,,Non-Hispanic Black,"(32.745510099, -89.538030825)",FV,FV1,Q018,VALUE,28,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2017,2017,CA,California,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,36.3,36.3,,,33.1,39.5,1477,,,High school graduate,,,,"(37.638640123, -120.999999538)",FV,FV1,Q018,VALUE,06,Education,High school graduate,EDU,EDUHSGRAD
2017,2017,IN,Indiana,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,17.1,17.1,,,15.7,18.5,4814,,65 or older,,,,,"(39.766910452, -86.149960194)",FV,FV1,Q019,VALUE,18,Age (years),65 or older,AGEYR,AGEYR65PLUS
2017,2017,MI,Michigan,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,18.5,18.5,,,17.5,19.5,10039,Total,,,,,,"(44.661319543001, -84.71439027)",FV,FV1,Q019,VALUE,26,Total,Total,OVR,OVERALL
2017,2017,NC,North Carolina,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,15.1,15.1,,,11.8,19.3,577,,25 - 34,,,,,"(35.466220975, -79.159250463)",FV,FV1,Q019,VALUE,37,Age (years),25 - 34,AGEYR,AGEYR2534
2017,2017,OH,Ohio,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,16.6,16.6,,,15.1,18.1,6526,,,,Female,,,"(40.060210141, -82.404260056)",FV,FV1,Q019,VALUE,39,Gender,Female,GEN,FEMALE
2017,2017,NJ,New Jersey,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,30.2,30.2,,,27.7,32.8,3930,,65 or older,,,,,"(40.130570048, -74.273691288)",FV,FV1,Q018,VALUE,34,Age (years),65 or older,AGEYR,AGEYR65PLUS
2017,2017,LA,Louisiana,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,Other,"(31.312660644, -92.445680071)",FV,FV1,Q019,VALUE,22,Race/Ethnicity,Other,RACE,RACEOTH
2017,2017,VA,Virginia,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,35.8,35.8,,,25.2,48.0,149,,,,,,2 or more races,"(37.542680674, -78.457890463)",FV,FV1,Q018,VALUE,51,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2017,2017,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,Hawaiian/Pacific Islander,"(18.220833, -66.590149)",FV,FV1,Q018,VALUE,72,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2017,2017,MD,Maryland,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,33.5,33.5,,,29.9,37.3,1171,,35 - 44,,,,,"(39.290580964, -76.609260111)",FV,FV1,Q018,VALUE,24,Age (years),35 - 44,AGEYR,AGEYR3544
2017,2017,MS,Mississippi,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,9.4,9.4,,,4.3,19.6,77,,,,,,2 or more races,"(32.745510099, -89.538030825)",FV,FV1,Q019,VALUE,28,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2017,2017,NY,New York,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,33.2,33.2,,,29.2,37.3,1010,,,,,"Less than $15,000",,"(42.827001032, -75.543970427)",FV,FV1,Q019,VALUE,36,Income,"Less than $15,000",INC,INCLESS15
2017,2017,CO,Colorado,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,36.1,36.1,,,32.9,39.4,1015,,25 - 34,,,,,"(38.843840757, -106.133610921)",FV,FV1,Q018,VALUE,08,Age (years),25 - 34,AGEYR,AGEYR2534
2017,2017,HI,Hawaii,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,27.0,27.0,,,21.8,32.9,523,,,,,Data not reported,,"(21.304850435, -157.857749403)",FV,FV1,Q019,VALUE,15,Income,Data not reported,INC,INCNR
2017,2017,AL,Alabama,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,46.2,46.2,,,40.2,52.4,518,,,,,"$25,000 - $34,999",,"(32.840571122, -86.631860762)",FV,FV1,Q018,VALUE,01,Income,"$25,000 - $34,999",INC,INC2535
2017,2017,CA,California,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,34.9,34.9,,,27.3,43.4,225,,,,,,2 or more races,"(37.638640123, -120.999999538)",FV,FV1,Q018,VALUE,06,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2017,2017,WY,Wyoming,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,25.0,25.0,,,18.6,32.7,255,,,,,"Less than $15,000",,"(43.235541343, -108.109830353)",FV,FV1,Q019,VALUE,56,Income,"Less than $15,000",INC,INCLESS15
2017,2017,NJ,New Jersey,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,27.9,27.9,,,24.1,32.1,1379,,,,,"$15,000 - $24,999",,"(40.130570048, -74.273691288)",FV,FV1,Q019,VALUE,34,Income,"$15,000 - $24,999",INC,INC1525
2017,2017,OH,Ohio,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,17.1,17.1,,,15.5,18.8,4207,,65 or older,,,,,"(40.060210141, -82.404260056)",FV,FV1,Q019,VALUE,39,Age (years),65 or older,AGEYR,AGEYR65PLUS
2017,2017,MD,Maryland,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,25.9,25.9,,,15.8,39.5,106,,,,,,Other,"(39.290580964, -76.609260111)",FV,FV1,Q018,VALUE,24,Race/Ethnicity,Other,RACE,RACEOTH
2017,2017,AZ,Arizona,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,18.8,18.8,,,16.4,21.4,1723,,,,,"$35,000 - $49,999",,"(34.86597028, -111.763811277)",FV,FV1,Q019,VALUE,04,Income,"$35,000 - $49,999",INC,INC3550
2017,2017,AR,Arkansas,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,48.2,48.2,,,44.1,52.3,1694,,,,Male,,,"(34.748650124, -92.274490743)",FV,FV1,Q018,VALUE,05,Gender,Male,GEN,MALE
2017,2017,CA,California,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,29.1,29.1,,,27.2,31.1,4278,,,,Female,,,"(37.638640123, -120.999999538)",FV,FV1,Q018,VALUE,06,Gender,Female,GEN,FEMALE
2017,2017,CA,California,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,39.0,39.0,,,32.5,45.9,356,,,,,,Non-Hispanic Black,"(37.638640123, -120.999999538)",FV,FV1,Q018,VALUE,06,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2017,2017,VT,Vermont,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,Hispanic,"(43.625381239, -72.517640791)",FV,FV1,Q019,VALUE,50,Race/Ethnicity,Hispanic,RACE,RACEHIS
2017,2017,MO,Missouri,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,17.2,17.2,,,8.6,31.4,77,,,,,,Asian,"(38.635790776, -92.566300053)",FV,FV1,Q019,VALUE,29,Race/Ethnicity,Asian,RACE,RACEASN
2017,2017,MN,Minnesota,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,32.0,32.0,,,27.4,36.9,614,,,Less than high school,,,,"(46.355648736, -94.794200503)",FV,FV1,Q019,VALUE,27,Education,Less than high school,EDU,EDUHS
2017,2017,CA,California,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,20.7,20.7,,,17.7,24.1,1490,,55 - 64,,,,,"(37.638640123, -120.999999538)",FV,FV1,Q019,VALUE,06,Age (years),55 - 64,AGEYR,AGEYR5564
2017,2017,RI,Rhode Island,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,9.2,9.2,,,7.4,11.3,1582,,,,,"$75,000 or greater",,"(41.708280193, -71.522470314)",FV,FV1,Q019,VALUE,44,Income,"$75,000 or greater",INC,INC75PLUS
2017,2017,NC,North Carolina,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,37.2,37.2,,,29.7,45.3,302,,,,,,Hispanic,"(35.466220975, -79.159250463)",FV,FV1,Q019,VALUE,37,Race/Ethnicity,Hispanic,RACE,RACEHIS
2017,2017,IL,Illinois,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,24.5,24.5,,,21.5,27.8,1176,,,High school graduate,,,,"(40.485010283, -88.997710178)",FV,FV1,Q019,VALUE,17,Education,High school graduate,EDU,EDUHSGRAD
2017,2017,WI,Wisconsin,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,,Value,30.5,30.5,,,25.1,36.5,531,,,,,Data not reported,,"(44.393191174, -89.816370742)",FV,FV1,Q018,VALUE,55,Income,Data not reported,INC,INCNR
2017,2017,KY,Kentucky,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,10.2,10.2,,,8.5,12.3,2421,,,College graduate,,,,"(37.645970271, -84.774971048)",FV,FV1,Q019,VALUE,21,Education,College graduate,EDU,EDUCOGRAD
2017,2017,ME,Maine,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,,Value,11.7,11.7,,,9.7,14.1,2280,,,Some college or technical school,,,,"(45.254228894001, -68.985031336)",FV,FV1,Q019,VALUE,23,Education,Some college or technical school,EDU,EDUCOTEC
