"Notes"	"Cancer Sites"	"Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"55-59 years"	"55-59"	486	161482	301.0
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"60-64 years "	"60-64"	703	151504	464.0
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"65-69 years"	"65-69"	921	127679	721.3
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"70-74 years"	"70-74"	930	103250	900.7
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"75-79 years"	"75-79"	810	68256	1186.7
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"80-84 years"	"80-84"	678	41242	1644.0
	"All Cancer Sites Combined"	"0"	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"85+ years"	"85+"	624	31390	1987.9
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2017"	"2017"	"Female"	"F"	"45-49 years"	"45-49"	17	21126	80.5
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2017"	"2017"	"Female"	"F"	"50-54 years"	"50-54"	24	22315	107.6
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2017"	"2017"	"Female"	"F"	"55-59 years"	"55-59"	46	24047	191.3
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2017"	"2017"	"Female"	"F"	"60-64 years "	"60-64"	65	22090	294.3
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2017"	"2017"	"Female"	"F"	"65-69 years"	"65-69"	70	16277	430.1
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2017"	"2017"	"Female"	"F"	"70-74 years"	"70-74"	41	10708	382.9
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2017"	"2017"	"Female"	"F"	"75-79 years"	"75-79"	43	6502	661.3
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2017"	"2017"	"Female"	"F"	"80-84 years"	"80-84"	45	4068	1106.2
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2017"	"2017"	"Female"	"F"	"85+ years"	"85+"	47	4116	1141.9
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2017"	"2017"	"Male"	"M"	"50-54 years"	"50-54"	22	24438	90.0
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2017"	"2017"	"Male"	"M"	"55-59 years"	"55-59"	51	26107	195.3
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2017"	"2017"	"Male"	"M"	"60-64 years "	"60-64"	84	23150	362.9
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2017"	"2017"	"Male"	"M"	"65-69 years"	"65-69"	86	17660	487.0
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2017"	"2017"	"Male"	"M"	"70-74 years"	"70-74"	72	11305	636.9
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2017"	"2017"	"Male"	"M"	"75-79 years"	"75-79"	61	6303	967.8
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2017"	"2017"	"Male"	"M"	"80-84 years"	"80-84"	52	3293	1579.1
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2017"	"2017"	"Male"	"M"	"85+ years"	"85+"	57	2511	2270.0
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"55-59 years"	"55-59"	46	23079	199.3
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"60-64 years "	"60-64"	46	22241	206.8
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"65-69 years"	"65-69"	85	17673	481.0
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"70-74 years"	"70-74"	63	12117	519.9
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"75-79 years"	"75-79"	65	7529	863.3
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"80-84 years"	"80-84"	42	4345	966.6
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"85+ years"	"85+"	63	4420	1425.3
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2019"	"2019"	"Male"	"M"	"50-54 years"	"50-54"	23	22415	102.6
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2019"	"2019"	"Male"	"M"	"55-59 years"	"55-59"	46	25214	182.4
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2019"	"2019"	"Male"	"M"	"60-64 years "	"60-64"	80	22990	348.0
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2019"	"2019"	"Male"	"M"	"65-69 years"	"65-69"	111	18653	595.1
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2019"	"2019"	"Male"	"M"	"70-74 years"	"70-74"	76	12868	590.6
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2019"	"2019"	"Male"	"M"	"75-79 years"	"75-79"	83	7490	1108.1
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2019"	"2019"	"Male"	"M"	"80-84 years"	"80-84"	68	3718	1828.9
	"All Cancer Sites Combined"	"0"	"Alaska"	"02"	"2019"	"2019"	"Male"	"M"	"85+ years"	"85+"	63	2740	2299.3
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2017"	"2017"	"Female"	"F"	"30-34 years"	"30-34"	20	222754	9.0
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2017"	"2017"	"Female"	"F"	"35-39 years"	"35-39"	54	220024	24.5
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2017"	"2017"	"Female"	"F"	"40-44 years"	"40-44"	71	207199	34.3
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2017"	"2017"	"Female"	"F"	"45-49 years"	"45-49"	127	214484	59.2
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2017"	"2017"	"Female"	"F"	"50-54 years"	"50-54"	217	213753	101.5
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2017"	"2017"	"Female"	"F"	"55-59 years"	"55-59"	368	225611	163.1
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2017"	"2017"	"Female"	"F"	"60-64 years "	"60-64"	540	218559	247.1
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2017"	"2017"	"Female"	"F"	"65-69 years"	"65-69"	721	204171	353.1
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2017"	"2017"	"Female"	"F"	"70-74 years"	"70-74"	835	169493	492.6
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2017"	"2017"	"Female"	"F"	"75-79 years"	"75-79"	791	118304	668.6
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2017"	"2017"	"Female"	"F"	"80-84 years"	"80-84"	690	77000	896.1
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2017"	"2017"	"Female"	"F"	"85+ years"	"85+"	988	82097	1203.5
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2017"	"2017"	"Male"	"M"	"25-29 years"	"25-29"	20	262428	7.6
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2017"	"2017"	"Male"	"M"	"30-34 years"	"30-34"	29	237742	12.2
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2017"	"2017"	"Male"	"M"	"35-39 years"	"35-39"	31	227412	13.6
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2017"	"2017"	"Male"	"M"	"40-44 years"	"40-44"	57	208609	27.3
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2017"	"2017"	"Male"	"M"	"45-49 years"	"45-49"	129	213546	60.4
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2017"	"2017"	"Male"	"M"	"50-54 years"	"50-54"	221	207034	106.7
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2017"	"2017"	"Male"	"M"	"55-59 years"	"55-59"	451	210424	214.3
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2017"	"2017"	"Male"	"M"	"60-64 years "	"60-64"	689	192690	357.6
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2017"	"2017"	"Male"	"M"	"65-69 years"	"65-69"	984	178695	550.7
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2017"	"2017"	"Male"	"M"	"70-74 years"	"70-74"	1023	150825	678.3
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2017"	"2017"	"Male"	"M"	"75-79 years"	"75-79"	995	103776	958.8
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2017"	"2017"	"Male"	"M"	"80-84 years"	"80-84"	859	66509	1291.6
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2017"	"2017"	"Male"	"M"	"85+ years"	"85+"	1034	56399	1833.4
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	"30-34 years"	"30-34"	29	232649	12.5
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	"35-39 years"	"35-39"	43	229018	18.8
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	"40-44 years"	"40-44"	74	213403	34.7
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	"45-49 years"	"45-49"	132	217630	60.7
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	"50-54 years"	"50-54"	213	211827	100.6
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	"55-59 years"	"55-59"	396	230465	171.8
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	"60-64 years "	"60-64"	566	229478	246.6
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	"65-69 years"	"65-69"	741	214430	345.6
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	"70-74 years"	"70-74"	936	188636	496.2
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	"75-79 years"	"75-79"	870	135655	641.3
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	"80-84 years"	"80-84"	722	85411	845.3
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	"85+ years"	"85+"	994	86087	1154.6
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	"25-29 years"	"25-29"	22	274139	8.0
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	"30-34 years"	"30-34"	18	249827	7.2
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	"35-39 years"	"35-39"	26	238495	10.9
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	"40-44 years"	"40-44"	71	215569	32.9
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	"45-49 years"	"45-49"	105	215421	48.7
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	"50-54 years"	"50-54"	201	206772	97.2
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	"55-59 years"	"55-59"	469	216293	216.8
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	"60-64 years "	"60-64"	695	204086	340.5
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	"65-69 years"	"65-69"	894	184808	483.7
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	"70-74 years"	"70-74"	1101	166440	661.5
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	"75-79 years"	"75-79"	1122	118458	947.2
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	"80-84 years"	"80-84"	930	74207	1253.3
	"All Cancer Sites Combined"	"0"	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	"85+ years"	"85+"	1054	61656	1709.5
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2017"	"2017"	"Female"	"F"	"35-39 years"	"35-39"	21	94890	22.1
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2017"	"2017"	"Female"	"F"	"40-44 years"	"40-44"	44	89052	49.4
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2017"	"2017"	"Female"	"F"	"45-49 years"	"45-49"	79	93086	84.9
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2017"	"2017"	"Female"	"F"	"50-54 years"	"50-54"	162	96777	167.4
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2017"	"2017"	"Female"	"F"	"55-59 years"	"55-59"	233	101289	230.0
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2017"	"2017"	"Female"	"F"	"60-64 years "	"60-64"	345	96682	356.8
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2017"	"2017"	"Female"	"F"	"65-69 years"	"65-69"	398	85329	466.4
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2017"	"2017"	"Female"	"F"	"70-74 years"	"70-74"	439	69089	635.4
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2017"	"2017"	"Female"	"F"	"75-79 years"	"75-79"	436	49835	874.9
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2017"	"2017"	"Female"	"F"	"80-84 years"	"80-84"	353	34426	1025.4
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2017"	"2017"	"Female"	"F"	"85+ years"	"85+"	467	38062	1226.9
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2017"	"2017"	"Male"	"M"	"40-44 years"	"40-44"	45	87132	51.6
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2017"	"2017"	"Male"	"M"	"45-49 years"	"45-49"	76	91052	83.5
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2017"	"2017"	"Male"	"M"	"50-54 years"	"50-54"	150	93341	160.7
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2017"	"2017"	"Male"	"M"	"55-59 years"	"55-59"	309	96290	320.9
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2017"	"2017"	"Male"	"M"	"60-64 years "	"60-64"	435	87238	498.6
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2017"	"2017"	"Male"	"M"	"65-69 years"	"65-69"	503	75755	664.0
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2017"	"2017"	"Male"	"M"	"70-74 years"	"70-74"	567	59650	950.5
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2017"	"2017"	"Male"	"M"	"75-79 years"	"75-79"	512	40430	1266.4
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2017"	"2017"	"Male"	"M"	"80-84 years"	"80-84"	421	25597	1644.7
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2017"	"2017"	"Male"	"M"	"85+ years"	"85+"	449	20542	2185.8
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2019"	"2019"	"Female"	"F"	"35-39 years"	"35-39"	18	96314	18.7
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2019"	"2019"	"Female"	"F"	"40-44 years"	"40-44"	41	89940	45.6
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2019"	"2019"	"Female"	"F"	"45-49 years"	"45-49"	63	92899	67.8
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2019"	"2019"	"Female"	"F"	"50-54 years"	"50-54"	132	90921	145.2
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2019"	"2019"	"Female"	"F"	"55-59 years"	"55-59"	233	101899	228.7
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2019"	"2019"	"Female"	"F"	"60-64 years "	"60-64"	345	98274	351.1
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2019"	"2019"	"Female"	"F"	"65-69 years"	"65-69"	392	87677	447.1
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2019"	"2019"	"Female"	"F"	"70-74 years"	"70-74"	430	74020	580.9
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2019"	"2019"	"Female"	"F"	"75-79 years"	"75-79"	446	54046	825.2
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2019"	"2019"	"Female"	"F"	"80-84 years"	"80-84"	347	36023	963.3
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2019"	"2019"	"Female"	"F"	"85+ years"	"85+"	434	38752	1119.9
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2019"	"2019"	"Male"	"M"	"35-39 years"	"35-39"	18	95989	18.8
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2019"	"2019"	"Male"	"M"	"40-44 years"	"40-44"	29	88338	32.8
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2019"	"2019"	"Male"	"M"	"45-49 years"	"45-49"	67	89639	74.7
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2019"	"2019"	"Male"	"M"	"50-54 years"	"50-54"	111	88545	125.4
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2019"	"2019"	"Male"	"M"	"55-59 years"	"55-59"	246	96217	255.7
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2019"	"2019"	"Male"	"M"	"60-64 years "	"60-64"	459	89601	512.3
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2019"	"2019"	"Male"	"M"	"65-69 years"	"65-69"	524	77133	679.3
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2019"	"2019"	"Male"	"M"	"70-74 years"	"70-74"	616	63870	964.5
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2019"	"2019"	"Male"	"M"	"75-79 years"	"75-79"	550	43754	1257.0
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2019"	"2019"	"Male"	"M"	"80-84 years"	"80-84"	468	27013	1732.5
	"All Cancer Sites Combined"	"0"	"Arkansas"	"05"	"2019"	"2019"	"Male"	"M"	"85+ years"	"85+"	462	21692	2129.8
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2017"	"2017"	"Female"	"F"	"5-9 years"	"5-9"	25	1229113	2.0
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2017"	"2017"	"Female"	"F"	"10-14 years"	"10-14"	18	1243634	1.4
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2017"	"2017"	"Female"	"F"	"15-19 years"	"15-19"	30	1250098	2.4
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2017"	"2017"	"Female"	"F"	"20-24 years"	"20-24"	43	1331464	3.2
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2017"	"2017"	"Female"	"F"	"25-29 years"	"25-29"	74	1508844	4.9
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2017"	"2017"	"Female"	"F"	"30-34 years"	"30-34"	157	1399771	11.2
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2017"	"2017"	"Female"	"F"	"35-39 years"	"35-39"	269	1331430	20.2
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2017"	"2017"	"Female"	"F"	"40-44 years"	"40-44"	467	1244954	37.5
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2017"	"2017"	"Female"	"F"	"45-49 years"	"45-49"	774	1293576	59.8
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2017"	"2017"	"Female"	"F"	"50-54 years"	"50-54"	1366	1273169	107.3
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2017"	"2017"	"Female"	"F"	"55-59 years"	"55-59"	2172	1277874	170.0
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2017"	"2017"	"Female"	"F"	"60-64 years "	"60-64"	2922	1152632	253.5
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2017"	"2017"	"Female"	"F"	"65-69 years"	"65-69"	3511	961994	365.0
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2017"	"2017"	"Female"	"F"	"70-74 years"	"70-74"	3677	736056	499.6
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2017"	"2017"	"Female"	"F"	"75-79 years"	"75-79"	3584	513675	697.7
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2017"	"2017"	"Female"	"F"	"80-84 years"	"80-84"	3610	372477	969.2
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2017"	"2017"	"Female"	"F"	"85+ years"	"85+"	6075	459088	1323.3
	"All Cancer Sites Combined"	"0"	"California"	"06"	"2017"	"2017"	"Male"	"M"	"1-4 years"	"1-4"	30	1016185	3.0
